method,metric,n,mean,old_lo,old_hi,circ_lo,circ_hi
ewma_persistence,hit_at_3_in_top20,48,0.2708333333333333,0.20833333333333334,0.4236111111111111,0.11805555555555554,0.40277777777777785
ewma_persistence,hit_at_3_in_top10,48,0.18055555555555555,0.15277777777777776,0.2916666666666667,0.07638888888888888,0.27777777777777773
ewma_persistence,precision_at_3,48,0.006944444444444444,0.0,0.020833333333333332,0.0,0.020833333333333332
ewma_persistence,precision_at_10,48,0.13333333333333333,0.11458333333333333,0.19375,0.07703125000000001,0.1875
ewma_persistence,ndcg_at_10,48,0.8073680057852934,0.7596471130910342,0.8663653626693957,0.7325512368583295,0.8639939013996628
ewma_persistence,spearman_rho,48,0.5939593956343566,0.5426346664703091,0.6225776316742465,0.5498843331993327,0.6332162409457479
ewma_persistence,wmape,48,0.19549414049311223,0.17224181391710544,0.22393639222407521,0.16758960396275255,0.22525336911285807
ewma_persistence,demand_capture_at_3,48,0.4590950509359017,0.3847009411078975,0.5845397079244876,0.32119005737172246,0.5751727092432947
ewma_persistence,demand_capture_at_10,48,0.4916209741708954,0.4110643602306248,0.5862794713726265,0.3795643376861339,0.5811052838263018
ewma_persistence,demand_capture_at_20,48,0.5001079781938317,0.4076245662603446,0.5947358400860141,0.39136633635415596,0.5936818308849012
ewma_persistence,tolerance_hit_at_3,48,0.0625,0.020833333333333332,0.13888888888888887,0.006944444444444444,0.13194444444444442
global_mean,hit_at_3_in_top20,48,0.0,0.0,0.0,0.0,0.0
global_mean,hit_at_3_in_top10,48,0.0,0.0,0.0,0.0,0.0
global_mean,precision_at_3,48,0.0,0.0,0.0,0.0,0.0
global_mean,precision_at_10,48,0.0,0.0,0.0,0.0,0.0
global_mean,ndcg_at_10,48,0.20352167495977283,0.18205987867847376,0.21873046875074756,0.18554664270932095,0.21837372871648145
global_mean,wmape,48,0.30564913819564343,0.2943928834204174,0.3239239009124733,0.2869289744281449,0.3224342372192718
global_mean,demand_capture_at_3,48,0.010827090203280376,0.008465668473630894,0.012190004280285036,0.00889517789216363,0.01242255120748252
global_mean,demand_capture_at_10,48,0.018675940571714653,0.014744764427001096,0.02179397750668878,0.015370629346792003,0.02150364024426382
global_mean,demand_capture_at_20,48,0.019432619633554464,0.01684509375044391,0.02115407758092972,0.017184597347813555,0.021216856717176758
global_mean,tolerance_hit_at_3,48,0.0,0.0,0.0,0.0,0.0
lightgbm,hit_at_3_in_top20,48,0.4305555555555555,0.40972222222222215,0.6180555555555555,0.22916666666666666,0.5902777777777778
lightgbm,hit_at_3_in_top10,48,0.27777777777777773,0.20833333333333334,0.4930555555555555,0.11805555555555554,0.4583333333333333
lightgbm,precision_at_3,48,0.048611111111111105,0.013888888888888888,0.10416666666666667,0.0,0.10416666666666667
lightgbm,precision_at_10,48,0.16874999999999998,0.1395833333333333,0.2604166666666667,0.10000000000000002,0.24171874999999973
lightgbm,ndcg_at_10,48,0.8692191151395345,0.8523316900030024,0.907380110513534,0.8250722971137137,0.9033523271563585
lightgbm,spearman_rho,48,0.7101629137250752,0.6402660173600438,0.7792911394324084,0.6285697389630684,0.7762355718463358
lightgbm,wmape,48,0.16554000697433566,0.13402536978625576,0.19471865869981045,0.13529857888095975,0.204169612267171
lightgbm,demand_capture_at_3,48,0.5689829764862392,0.5136548098722866,0.6836973670009933,0.45266686478294627,0.6703946054806671
lightgbm,demand_capture_at_10,48,0.5975554680159973,0.5618336978384483,0.6834403367676439,0.507835429015027,0.6717145043556014
lightgbm,demand_capture_at_20,48,0.6137307408743232,0.5633721881832624,0.6992159669397149,0.5191814298983215,0.6905625599202292
lightgbm,tolerance_hit_at_3,48,0.13194444444444442,0.020833333333333332,0.2986111111111111,0.0,0.27777777777777773
parent_category_mean,hit_at_3_in_top20,48,0.03472222222222222,0.0,0.10416666666666667,0.0,0.09722222222222221
parent_category_mean,hit_at_3_in_top10,48,0.020833333333333332,0.0,0.0625,0.0,0.0625
parent_category_mean,precision_at_3,48,0.0,0.0,0.0,0.0,0.0
parent_category_mean,precision_at_10,48,0.016666666666666666,0.0,0.05000000000000001,0.0,0.04583333333333334
parent_category_mean,ndcg_at_10,48,0.2724740107746522,0.19020041125556264,0.4101750831073812,0.1935791297545921,0.3896337092174487
parent_category_mean,spearman_rho,48,0.2468134629733416,0.21643343532295178,0.2750133001239352,0.21583483149104388,0.273486088369214
parent_category_mean,wmape,48,0.24550962549358293,0.23219537061337506,0.2644083828927584,0.22726502850176974,0.26310942155592154
parent_category_mean,demand_capture_at_3,48,0.061880457249217445,0.014226554536553158,0.1530532973831496,0.008260473772387004,0.13981867756403377
parent_category_mean,demand_capture_at_10,48,0.08822409515846912,0.04421762577115722,0.1543507191828139,0.042056477211610814,0.14194957079090453
parent_category_mean,demand_capture_at_20,48,0.09082047063794078,0.058670914516873326,0.12095399129380284,0.0609188580321718,0.1188553536213091
parent_category_mean,tolerance_hit_at_3,48,0.0,0.0,0.0,0.0,0.0
random_floor,hit_at_3_in_top20,48,0.005555555555555557,0.0010416666666666667,0.009722222222222222,0.001736111111111111,0.009722222222222222
