style_id,gate1_pass_median,gate1_pass_p90,clip_mean_sim,clip_p90,clip_max_sim,clip_nn_median_benchmark,dinov2_mean_sim,dinov2_p90,dinov2_max_sim,dinov2_nn_median_benchmark
Ladieswear || Sweater || Knitwear || Beige || Melange,false,true,0.9475336565690882,0.9664748013019562,1.0000001192092896,0.9642683863639832,0.8761866793913,0.9041306674480438,1.0,0.9217683672904968
Ladieswear || Dress || Dresses Ladies || Red || Solid,false,true,0.9193441271781921,0.9505268812179566,1.0,0.9584241509437561,0.7668447983264923,0.8402593493461609,1.0,0.8605549931526184
Ladieswear || Top || Jersey Basic || White || Solid,true,true,0.9477316548949793,0.9771104454994202,1.0,0.9780116081237793,0.8357178098277042,0.9279783368110657,1.0,0.9374861717224121
