origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape
2019-10-07,ewma_persistence,true,false,3044,3044,0.3333333333333333,0.3333333333333333,0.0,0.1,0.7358820447696175,0.5122026750036688,0.22811973424332102
2019-10-07,parent_category_mean,true,false,3044,3044,0.0,0.0,0.0,0.0,0.22359072815011055,0.18858170572043007,0.2703647329611648
2019-10-07,global_mean,true,false,3044,3044,0.0,0.0,0.0,0.0,0.22181559393792571,NaN,0.3304339886082558
2019-10-14,seasonal_naive,true,false,3042,2830,0.6666666666666666,0.6666666666666666,0.0,0.3,0.7632208398695763,0.5095018846241016,0.18832983331377043
2019-10-14,ewma_persistence,true,false,3042,3042,0.3333333333333333,0.3333333333333333,0.0,0.1,0.7890842124250529,0.5255866078343345,0.21704016262454057
2019-10-14,parent_category_mean,true,false,3042,3042,0.0,0.0,0.0,0.0,0.1655223338138691,0.19464401371489498,0.26202842653306657
2019-10-14,global_mean,true,false,3042,3042,0.0,0.0,0.0,0.0,0.21873797101799422,NaN,0.3192842189156385
2019-10-21,seasonal_naive,true,false,3042,2836,0.6666666666666666,0.6666666666666666,0.0,0.3,0.749261283742456,0.507159435475726,0.1861374374438041
2019-10-21,ewma_persistence,true,false,3042,3042,0.3333333333333333,0.3333333333333333,0.0,0.1,0.7806036000553188,0.5427847931245003,0.2031724831750327
2019-10-21,parent_category_mean,true,false,3042,3042,0.0,0.0,0.0,0.0,0.13490278600694766,0.20069579209070387,0.2526975542045285
2019-10-21,global_mean,true,false,3042,3042,0.0,0.0,0.0,0.0,0.2244772182789342,NaN,0.31236594503889753
2019-10-28,seasonal_naive,true,false,3039,2847,0.3333333333333333,0.3333333333333333,0.0,0.2,0.7166031739526934,0.5031055908718668,0.18934935387048196
2019-10-28,ewma_persistence,true,false,3039,3039,0.3333333333333333,0.3333333333333333,0.0,0.1,0.8275132427173262,0.5572292744744595,0.1967119572567459
2019-10-28,parent_category_mean,true,false,3039,3039,0.0,0.0,0.0,0.0,0.14685019497829963,0.20133856193342958,0.25016977124002177
2019-10-28,global_mean,true,false,3039,3039,0.0,0.0,0.0,0.0,0.22749885273728648,NaN,0.3122587935642523
2019-11-04,seasonal_naive,true,false,3038,2853,0.3333333333333333,0.3333333333333333,0.0,0.1,0.7143179815192201,0.49508462220873056,0.18930949850909806
2019-11-04,ewma_persistence,true,false,3038,3038,0.3333333333333333,0.3333333333333333,0.0,0.1,0.8402088991520096,0.5703317139410405,0.18706810738627289
2019-11-04,parent_category_mean,true,false,3038,3038,0.0,0.0,0.0,0.0,0.18974688640470708,0.209349572759123,0.24393314746966827
2019-11-04,global_mean,true,false,3038,3038,0.0,0.0,0.0,0.0,0.22696208515470323,NaN,0.3016483261834671
2019-11-11,seasonal_naive,true,false,3034,2854,0.3333333333333333,0.3333333333333333,0.0,0.1,0.7038690184394394,0.4881083177552026,0.18907520049228987
2019-11-11,ewma_persistence,true,false,3034,3034,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8795141771067703,0.5809839326882095,0.17773601325177252
2019-11-11,parent_category_mean,true,false,3034,3034,0.0,0.0,0.0,0.0,0.2274934591698765,0.21490257879095848,0.23777228275460455
2019-11-11,global_mean,true,false,3034,3034,0.0,0.0,0.0,0.0,0.22481091480250645,NaN,0.2965025584585935
2019-11-18,seasonal_naive,true,false,3028,2854,0.3333333333333333,0.3333333333333333,0.0,0.1,0.6106580182418517,0.4826083066499815,0.18750704867314866
2019-11-18,ewma_persistence,true,false,3028,3028,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8896972798923073,0.5901984648078896,0.16846538308684608
2019-11-18,parent_category_mean,true,false,3028,3028,0.0,0.0,0.0,0.0,0.24738698465379794,0.2215127750045369,0.23185886271584313
2019-11-18,global_mean,true,false,3028,3028,0.0,0.0,0.0,0.0,0.22732112643878633,NaN,0.2940292506823517
2019-11-25,seasonal_naive,true,false,3023,2850,0.3333333333333333,0.3333333333333333,0.0,0.1,0.6091316882434822,0.4793081481087069,0.2084623579987133
2019-11-25,ewma_persistence,true,false,3023,3023,0.6666666666666666,0.6666666666666666,0.0,0.3,0.9034096031291905,0.613835251142223,0.19303253705996049
2019-11-25,parent_category_mean,true,false,3023,3023,0.0,0.0,0.0,0.0,0.2843044882339388,0.23237945707352473,0.25077603195865494
2019-11-25,global_mean,true,false,3023,3023,0.0,0.0,0.0,0.0,0.23257166762806109,NaN,0.3195489236697679
2019-12-02,seasonal_naive,true,true,3020,2854,0.3333333333333333,0.3333333333333333,0.0,0.1,0.5927642600089658,0.48203626541891825,0.19793524050430789
2019-12-02,ewma_persistence,true,true,3020,3020,0.6666666666666666,0.6666666666666666,0.0,0.3,0.907848458630175,0.6275955323234564,0.1687012917893004
2019-12-02,parent_category_mean,true,true,3020,3020,0.0,0.0,0.0,0.0,0.34273625492267357,0.24154346025480747,0.22847669419865643
2019-12-02,global_mean,true,true,3020,3020,0.0,0.0,0.0,0.0,0.23297132365890016,NaN,0.28803936985552114
2019-12-09,seasonal_naive,true,true,3016,2851,0.3333333333333333,0.0,0.0,0.0,0.5964529980322374,0.48327317635178335,0.1973057810984631
2019-12-09,ewma_persistence,true,true,3016,3016,0.6666666666666666,0.3333333333333333,0.0,0.2,0.9080214111617549,0.6374120507339627,0.16704223495501125
2019-12-09,parent_category_mean,true,true,3016,3016,0.0,0.0,0.0,0.0,0.44276690454643847,0.2507801129433323,0.22842029512408116
2019-12-09,global_mean,true,true,3016,3016,0.0,0.0,0.0,0.0,0.22526670247398492,NaN,0.28979790111068393
2019-12-16,seasonal_naive,true,true,3014,2848,0.0,0.0,0.0,0.1,0.6026344826326042,0.48195473669048183,0.21262645342693956
2019-12-16,ewma_persistence,true,true,3014,3014,0.6666666666666666,0.0,0.0,0.1,0.8867210590434156,0.6486745442334078,0.19311878009655284
2019-12-16,parent_category_mean,true,true,3014,3014,0.0,0.0,0.0,0.0,0.5150981926724854,0.2640030115433522,0.24374663469006239
2019-12-16,global_mean,true,true,3014,3014,0.0,0.0,0.0,0.0,0.21030872757072536,NaN,0.317972377730565
2019-12-23,seasonal_naive,true,true,3013,2851,0.3333333333333333,0.0,0.0,0.0,0.6272197710154085,0.4840420271616271,0.21881351706284383
2019-12-23,ewma_persistence,true,true,3013,3013,0.3333333333333333,0.0,0.0,0.1,0.8413605986044816,0.6500863227485069,0.1979812739764165
2019-12-23,parent_category_mean,true,true,3013,3013,0.0,0.0,0.0,0.0,0.49867264733003624,0.2711213644304361,0.2494464823891909
2019-12-23,global_mean,true,true,3013,3013,0.0,0.0,0.0,0.0,0.1929314461055536,NaN,0.31345479428568884
2019-12-30,seasonal_naive,true,true,3012,2854,0.0,0.0,0.0,0.1,0.6649579924194516,0.48843407351009827,0.2170198842985412
