method,n_origins,mean_lift,ci_lo,ci_hi
lightgbm,10,2.0344775213793405,1.8360773464831552,2.5734576122229402
seasonal_naive,10,2.1931339853662073,1.9319696546275502,2.9325746911699384
ewma_persistence,10,1.8890606839159734,1.4484518537535025,3.029936635812598
parent_category_mean,10,1.512190273449509,1.216619715716892,2.0987402318228474
global_mean,10,1.004666435548844,0.7591891857273839,1.1997850182692982
