origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape
2019-09-23,lightgbm,true,false,159,159,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.6511972748290107,0.48995700979221407,0.3683857263276582
2019-09-23,seasonal_naive,true,false,159,159,1.0,1.0,1.0,0.5,0.9566284167791799,0.7150853833293529,0.22795920517229218
2019-09-23,ewma_persistence,true,false,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,0.4041298312857807,-0.044948650585144495,0.39742166514706584
2019-09-23,parent_category_mean,true,false,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.4797928577948761,0.13558335323620732,0.4529402581170596
2019-09-23,global_mean,true,false,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,0.46636051326818884,0.15595294960592312,0.4944935078617442
2019-10-21,lightgbm,true,false,140,140,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.7479621216043569,0.30095121471212094,0.2760297558561974
2019-10-21,seasonal_naive,true,false,140,140,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.7532937363277513,0.5832717412695984,0.23026157977710435
2019-10-21,ewma_persistence,true,false,140,140,0.0,0.0,0.0,0.1,0.39495083834693157,-0.01838577770002843,0.3302910072382578
2019-10-21,parent_category_mean,true,false,140,140,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3,0.6257768947828979,0.09598303120421597,0.42464443283654413
2019-10-21,global_mean,true,false,140,140,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3,0.6257768947828979,0.12185169797292868,0.4800080085500195
2019-11-18,lightgbm,true,false,137,137,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.6618560020916091,0.5574980865084846,0.2473821624431496
2019-11-18,seasonal_naive,true,false,137,137,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.688923135865826,0.5605970093527731,0.2694753941334665
2019-11-18,ewma_persistence,true,false,137,137,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.5760323019542771,0.4889204174211734,0.26548915831662434
2019-11-18,parent_category_mean,true,false,137,137,1.0,0.6666666666666666,0.3333333333333333,0.3,0.6924256905567623,0.3935351989097765,0.3847188321318126
2019-11-18,global_mean,true,false,137,137,1.0,0.6666666666666666,0.3333333333333333,0.3,0.6916534440306279,0.4252804898538279,0.4546661105867067
2019-12-16,lightgbm,true,true,80,80,1.0,1.0,0.6666666666666666,0.5,0.8361050354745763,0.4819034224097515,0.4959376031724985
2019-12-16,seasonal_naive,true,true,80,80,1.0,1.0,0.6666666666666666,0.5,0.8262834668337751,0.5825128926394749,0.42760568246499836
2019-12-16,ewma_persistence,true,true,80,80,1.0,1.0,0.6666666666666666,0.5,0.8567313554567386,0.6806844819503048,0.3051699696244896
2019-12-16,parent_category_mean,true,true,80,80,1.0,1.0,0.6666666666666666,0.5,0.8254609449467207,0.30832161275199255,0.37615316240657565
2019-12-16,global_mean,true,true,80,80,1.0,1.0,0.6666666666666666,0.4,0.7787277851346444,0.27590248476324425,0.4659708435884656
2020-01-13,lightgbm,true,true,105,105,1.0,0.6666666666666666,0.3333333333333333,0.5,0.8785369174362342,0.801254405971387,0.21955353671022354
2020-01-13,seasonal_naive,true,true,105,105,1.0,0.3333333333333333,0.3333333333333333,0.5,0.7416643841386086,0.7231183910429193,0.3337833669242274
2020-01-13,ewma_persistence,true,true,105,105,1.0,0.6666666666666666,0.3333333333333333,0.7,0.9134040817617415,0.7962367820858387,0.23713294805379956
2020-01-13,parent_category_mean,true,true,105,105,1.0,1.0,0.6666666666666666,0.6,0.8969133915086543,0.5612067178104914,0.41031832619017455
2020-01-13,global_mean,true,true,105,105,1.0,1.0,0.6666666666666666,0.6,0.8969133915086543,0.5784159236989426,0.5204056556340466
2020-02-10,lightgbm,true,true,128,128,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.74369489647133,0.7344751419154001,0.2551570346016517
2020-02-10,seasonal_naive,true,true,128,128,0.6666666666666666,0.3333333333333333,0.0,0.3,0.6813207406499338,0.7290159769273026,0.32404505398536143
2020-02-10,ewma_persistence,true,true,128,128,1.0,0.6666666666666666,0.3333333333333333,0.5,0.8046097770410293,0.6811881981322102,0.2878761970247989
2020-02-10,parent_category_mean,true,true,128,128,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3,0.6755079226834383,0.5350267808093756,0.4381913353674626
2020-02-10,global_mean,true,true,128,128,1.0,0.3333333333333333,0.3333333333333333,0.4,0.7276303449126266,0.5494643838124885,0.5416665008281488
2020-03-09,lightgbm,true,true,131,131,0.6666666666666666,0.3333333333333333,0.0,0.5,0.7773910601580085,0.7465915763625687,0.25887026053659895
2020-03-09,seasonal_naive,true,true,131,131,1.0,0.3333333333333333,0.0,0.6,0.8218847400156761,0.736497090695564,0.36441662321894785
2020-03-09,ewma_persistence,true,true,131,131,1.0,0.6666666666666666,0.3333333333333333,0.7,0.91192477975651,0.5702290076335877,0.31952460220227574
2020-03-09,parent_category_mean,true,true,131,131,1.0,0.6666666666666666,0.3333333333333333,0.5,0.810450840853297,0.535221267282336,0.4488687114718493
2020-03-09,global_mean,true,true,131,131,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.7661627345538288,0.5446751721560882,0.5563377261420523
2020-04-06,lightgbm,true,true,130,130,1.0,1.0,0.3333333333333333,0.7,0.8420942385808499,0.7836212429501974,0.34023105123217484
2020-04-06,seasonal_naive,true,true,130,130,1.0,1.0,0.3333333333333333,0.6,0.8391688652046927,0.7198049952887516,0.3913656551463462
2020-04-06,ewma_persistence,true,true,130,130,0.6666666666666666,0.6666666666666666,0.0,0.6,0.830812294340948,0.404574690354914,0.303016001511234
2020-04-06,parent_category_mean,true,true,130,130,0.6666666666666666,0.3333333333333333,0.0,0.3,0.6383825738957171,0.5558371683349492,0.46778467123527434
