style_id,rule,article_index,clip_loo_sim,clip_threshold_full,clip_pair_max,clip_pass_full,clip_threshold_heldout,clip_pass_heldout,dinov2_loo_sim,dinov2_threshold_full,dinov2_pair_max,dinov2_pass_full,dinov2_threshold_heldout,dinov2_pass_heldout,joint_pass_full,joint_pass_heldout
Ladieswear || Sweater || Knitwear || Beige || Melange,median,0,0.9442545026540756,0.9298796057701111,0.984673023223877,false,0.9288116693496704,false,0.8684483468532562,0.8151490390300751,0.9485378861427307,false,0.8112562298774719,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,1,0.9221644252538681,0.9298796057701111,0.984673023223877,true,0.9306640923023224,true,0.7751553021371365,0.8151490390300751,0.9485378861427307,true,0.8211597502231598,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,median,2,0.9071753732860088,0.9298796057701111,0.984673023223877,true,0.931317538022995,true,0.7012953497469425,0.8151490390300751,0.9485378861427307,true,0.82981276512146,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,median,3,0.9309256300330162,0.9298796057701111,0.984673023223877,false,0.9291012585163116,false,0.7698527239263058,0.8151490390300751,0.9485378861427307,true,0.8281019032001495,true,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,4,0.947355467826128,0.9298796057701111,0.984673023223877,false,0.9288116693496704,false,0.855229776352644,0.8151490390300751,0.9485378861427307,false,0.8106138408184052,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,5,0.9435396492481232,0.9298796057701111,0.984673023223877,false,0.9291012585163116,false,0.8348657786846161,0.8151490390300751,0.9485378861427307,false,0.8117271661758423,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,6,0.9389736205339432,0.9298796057701111,0.984673023223877,false,0.9291012585163116,false,0.837495606392622,0.8151490390300751,0.9485378861427307,false,0.8123643398284912,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,7,0.934057891368866,0.9298796057701111,0.984673023223877,false,0.9288116693496704,false,0.8531020246446133,0.8151490390300751,0.9485378861427307,false,0.8117271661758423,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,8,0.9155408143997192,0.9298796057701111,0.984673023223877,true,0.931076854467392,true,0.8313350714743137,0.8151490390300751,0.9485378861427307,false,0.8110847771167755,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,9,0.9468287453055382,0.9298796057701111,0.984673023223877,false,0.9282220602035522,false,0.867706585675478,0.8151490390300751,0.9485378861427307,false,0.8078372478485107,false,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,median,10,0.9266622923314571,0.9298796057701111,0.984673023223877,true,0.9291012585163116,true,0.7444705590605736,0.8151490390300751,0.9485378861427307,true,0.8285471796989441,true,true,true
