comparator,metric,n_paired,mean_diff,circ_lo,circ_hi,circ_se,ess_ac,ess_circ,mde_80,excludes_zero,old_lo,old_hi
ewma_persistence,hit_at_3_in_top20,48,0.1597222222222222,0.06250000000000001,0.2569444444444444,0.04922528628434027,33.956145030693065,27.29718774421744,0.13790883441158674,true,0.11111111111111112,0.27100694444444345
ewma_persistence,hit_at_3_in_top10,48,0.09722222222222222,-0.020833333333333332,0.22916666666666666,0.06461688530512066,16.552597891069382,15.806333953322149,0.18102971071132715,false,-0.027777777777777776,0.25
ewma_persistence,precision_at_3,48,0.041666666666666664,0.0,0.09027777777777778,0.02367635974138118,33.85594013096353,30.575092461674032,0.0663313394701785,false,0.006944444444444444,0.09722222222222221
ewma_persistence,precision_at_10,48,0.035416666666666666,-0.010416666666666666,0.07708333333333334,0.023040315321301116,18.581723837289083,19.630741174109165,0.06454940682481895,false,-0.014583333333333332,0.08541666666666665
ewma_persistence,ndcg_at_10,48,0.06185110935424102,0.03270328007422991,0.09981529116716695,0.017842338467774735,8.354336047007491,8.853035717018823,0.049986831707886085,true,0.03155366640739977,0.09883299195202148
ewma_persistence,spearman_rho,48,0.1162035180907186,0.06615188354319254,0.16475940336068579,0.02535810446880645,8.196283180686601,7.982650482569467,0.07104289063917256,true,0.09309982316626449,0.1709972314813197
ewma_persistence,wmape,48,-0.02995413351877661,-0.04316226818409641,-0.013811461799630031,0.007615732819107732,10.195073138885295,7.645317089827001,0.021336124491110026,true,-0.044906363022704864,-0.028492272186971805
ewma_persistence,demand_capture_at_3,48,0.10988792555033748,0.052290460635637144,0.16484046255816992,0.029525707309775353,18.10997081402855,17.436107317895885,0.08271878515339665,true,0.04393719117868738,0.16865424901661702
ewma_persistence,demand_capture_at_10,48,0.10593449384510202,0.06462051950861566,0.15833175922444984,0.024473663259313685,16.607015173317905,15.707026130086035,0.06856505322036767,true,0.06540221209115558,0.16598334148618585
ewma_persistence,demand_capture_at_20,48,0.11362276268049147,0.0704089520263588,0.15898539831001798,0.02276302216908267,15.536045761574302,13.597340788547156,0.0637725464284798,true,0.09829897839090125,0.16871061250176747
ewma_persistence,tolerance_hit_at_3,48,0.06944444444444443,-0.006944444444444444,0.15277777777777776,0.04140261373572416,20.49388704972304,19.19284429204282,0.11599295063324574,false,0.0,0.16666666666666666
global_mean,hit_at_3_in_top20,48,0.4305555555555555,0.22916666666666666,0.5902777777777778,0.09304320921881697,18.332387826669827,13.631255115256124,0.26066847959322986,true,0.40972222222222215,0.6180555555555555
global_mean,hit_at_3_in_top10,48,0.27777777777777773,0.11805555555555554,0.4583333333333333,0.08632773444178582,13.106772586508683,10.99691909819335,0.24185450472528894,true,0.20833333333333334,0.4930555555555555
global_mean,precision_at_3,48,0.048611111111111105,0.0,0.10416666666666667,0.025997654014133675,31.306944959937134,27.909293947131747,0.07283464319161218,false,0.013888888888888888,0.10416666666666667
global_mean,precision_at_10,48,0.16874999999999998,0.10000000000000002,0.24171874999999973,0.03711343962140754,14.180403536613014,12.096808857074056,0.10397646383666354,true,0.1395833333333333,0.2604166666666667
global_mean,ndcg_at_10,48,0.6656974401797616,0.613238035485766,0.7103880311261063,0.025165945809997512,7.535654786024618,7.462964227608656,0.07050454178112102,true,0.6412680177218918,0.7155667204906508
global_mean,wmape,48,-0.14010913122130778,-0.1624539350240969,-0.1107512530446037,0.013656060462587861,8.112582870651615,7.567058420105973,0.0382586171296431,true,-0.1640273404172356,-0.1290314573403968
global_mean,demand_capture_at_3,48,0.5581558862829588,0.44129092100994133,0.6609311718776828,0.05810015771577655,10.450053347734574,9.473166341413126,0.1627725430265517,true,0.5032537098103493,0.6739072259519927
global_mean,demand_capture_at_10,48,0.5788795274442827,0.48799685583784175,0.6549803067412792,0.04389089865314258,9.818004922080526,10.433350722781096,0.12296409287633864,true,0.5417204198264693,0.666624598675804
global_mean,demand_capture_at_20,48,0.5942981212407686,0.4995650558823951,0.6718542041044443,0.04568171909492445,8.843903034967413,10.135895425941452,0.12798122895432928,true,0.5441589200261396,0.68050330414415
global_mean,tolerance_hit_at_3,48,0.13194444444444442,0.0,0.27777777777777773,0.07091626396316565,12.739193456396842,11.977140841771563,0.19867795684300227,false,0.020833333333333332,0.2986111111111111
parent_category_mean,hit_at_3_in_top20,48,0.3958333333333333,0.21527777777777776,0.5555555555555556,0.08714343281093391,20.626230498238552,15.973992610441726,0.24413975321873307,true,0.36111111111111116,0.5902777777777778
parent_category_mean,hit_at_3_in_top10,48,0.2569444444444444,0.11805555555555554,0.4166666666666667,0.07789502207105958,14.973810116288318,12.65450323082397,0.21822954239886394,true,0.20138888888888887,0.45156249999999903
parent_category_mean,precision_at_3,48,0.048611111111111105,0.0,0.10416666666666667,0.025997654014133675,31.306944959937134,27.909293947131747,0.07283464319161218,false,0.013888888888888888,0.10416666666666667
parent_category_mean,precision_at_10,48,0.15208333333333332,0.08125,0.23125000000000004,0.03850754243066126,14.001612273366057,12.910780674103636,0.10788216165959852,true,0.10416666666666667,0.25
parent_category_mean,ndcg_at_10,48,0.5967451043648823,0.48878347910121145,0.6902376095172541,0.0533254648961392,9.302691104983788,9.864127245580876,0.14939583420202557,true,0.46897630831348136,0.7037839233083288
parent_category_mean,spearman_rho,48,0.46334945075173367,0.4087283682684465,0.5075358795509548,0.026076467354965983,6.75284238613748,9.60865931596865,0.07305544548227808,true,0.4218183605216206,0.509821898439245
parent_category_mean,wmape,48,-0.07996961851924726,-0.0998158261616193,-0.05402411755091947,0.012083692356718528,7.994916937586601,7.843353674103534,0.033853493886807286,true,-0.1011210638800036,-0.06955928896146696
parent_category_mean,demand_capture_at_3,48,0.5071025192370217,0.408428865702151,0.6286964194435286,0.05724448746577617,11.272320226791726,11.449336256855675,0.16037530990257162,true,0.43495989205727037,0.6447440559927264
parent_category_mean,demand_capture_at_10,48,0.5093313728575283,0.4094744078752585,0.6194490724364644,0.054811839172857035,9.028946246154707,10.638186869962961,0.1535600384042616,true,0.43662808190526703,0.6344002030246981
parent_category_mean,demand_capture_at_20,48,0.5229102702363824,0.4122227196643964,0.6248569389324121,0.05542980338428316,8.117864515884376,10.085729886922987,0.15529131780431588,true,0.4585842126454967,0.6361328906536577
parent_category_mean,tolerance_hit_at_3,48,0.13194444444444442,0.0,0.27777777777777773,0.07091626396316565,12.739193456396842,11.977140841771563,0.19867795684300227,false,0.020833333333333332,0.2986111111111111
random_floor,hit_at_3_in_top20,48,0.425,0.2253125,0.5847309027777776,0.09286986952328728,18.530097061446533,13.713252248911475,0.2601828536645217,true,0.40902777777777777,0.6069965277777775
random_floor,hit_at_3_in_top10,48,0.2736111111111111,0.11526041666666666,0.45313368055555553,0.08553254737666613,13.185605770496771,11.02057517636539,0.23962672039801497,true,0.20694444444444446,0.48611979166666663
random_floor,precision_at_3,48,0.04618055555555555,-0.0017361111111111112,0.09931423611111105,0.02547444317808101,32.65153806526126,29.12954946909759,0.07136882344737051,false,0.011458333333333333,0.1017447916666666
