challenger,metric,n_paired,mean_diff,ci_lo,ci_hi,se,p_two_sided,identical,status
a,hit_at_3_in_top20,48,0.041666666666666664,-0.013888888888888886,0.10416666666666667,0.030161630579294333,0.17191404297851073,false,EXPLORATORY
a,hit_at_3_in_top10,48,0.03472222222222222,-0.013888888888888888,0.09722222222222221,0.028519804512375162,0.27786106946526734,false,EXPLORATORY
a,precision_at_3,48,0.006944444444444444,0.0,0.020833333333333332,0.006009188494097383,0.6286856571714143,false,EXPLORATORY
a,precision_at_10,48,0.00208333333333333,-0.01875,0.022916666666666658,0.010649861626250059,0.9115442278860569,false,EXPLORATORY
a,ndcg_at_10,48,-0.0014817827562194907,-0.010383222607201434,0.0072881150072892555,0.004668834331186667,0.7946026986506747,false,EXPLORATORY
a,spearman_rho,48,-0.0004893793038294967,-0.002619728833141342,0.0011237226169701743,0.0010136470608687735,0.6626686656671664,false,EXPLORATORY
a,wmape,48,-0.0011851704449380588,-0.0028945438985922578,0.00043396982091218066,0.000864734938187554,0.1729135432283858,false,EXPLORATORY
a,demand_capture_at_3,48,0.010378867994474383,-0.010629212273919731,0.037194447498680346,0.012603997649202295,0.43278360819590206,false,EXPLORATORY
a,demand_capture_at_10,48,0.0014329504628625446,-0.015873054363884635,0.01889836135313293,0.00900826064106808,0.8825587206396801,false,EXPLORATORY
a,demand_capture_at_20,48,-0.002304684764246886,-0.01924079280093758,0.013573434121364629,0.00849538387167469,0.7986006996501749,false,EXPLORATORY
a,tolerance_hit_at_3,48,0.03472222222222222,0.006944444444444444,0.07638888888888888,0.019146976825876762,0.04097951024487756,false,EXPLORATORY
a_shuffle,hit_at_3_in_top20,48,-0.006944444444444443,-0.034895833333333334,0.021006944444443506,0.016129062676968915,0.768615692153923,false,EXPLORATORY
a_shuffle,hit_at_3_in_top10,48,0.006944444444444444,-0.027777777777777776,0.05555555555555555,0.021695609466097582,0.8935532233883059,false,EXPLORATORY
a_shuffle,precision_at_3,48,-0.006944444444444444,-0.020833333333333332,0.0,0.005904285692167724,0.6516741629185407,false,EXPLORATORY
a_shuffle,precision_at_10,48,0.0,-0.02708333333333333,0.027135416666666384,0.014238681337764285,0.9995002498750625,false,EXPLORATORY
a_shuffle,ndcg_at_10,48,-0.004829648143269483,-0.013324886020723237,0.004155092317371952,0.004500315927587763,0.3098450774612694,false,EXPLORATORY
a_shuffle,spearman_rho,48,-0.0022357295160840515,-0.0052456385040560195,0.0006507572152186662,0.0015259193131026412,0.13693153423288357,false,EXPLORATORY
a_shuffle,wmape,48,-0.0002445601825225782,-0.0008106455463096846,0.0004147091866064386,0.0003180091701492232,0.42978510744627685,false,EXPLORATORY
a_shuffle,demand_capture_at_3,48,-0.01466468602528398,-0.03016310780297028,0.0036758636189747756,0.008807532564218453,0.11294352823588207,false,EXPLORATORY
a_shuffle,demand_capture_at_10,48,-0.006884332429623064,-0.023462860739596643,0.010974522224400273,0.009020877265329462,0.4567716141929036,false,EXPLORATORY
a_shuffle,demand_capture_at_20,48,0.00008940791374295483,-0.009832188776142973,0.011189417393963836,0.005378329470950513,0.9975012493753124,false,EXPLORATORY
a_shuffle,tolerance_hit_at_3,48,0.0,-0.027777777777777776,0.027777777777777776,0.013660507318855302,1.0,false,EXPLORATORY
a_negctl,hit_at_3_in_top20,48,-0.013888888888888888,-0.06944444444444443,0.048611111111111105,0.028984137602061737,0.6436781609195402,false,EXPLORATORY
a_negctl,hit_at_3_in_top10,48,-0.006944444444444444,-0.05555555555555555,0.05555555555555555,0.028789988842956398,0.8835582208895553,false,EXPLORATORY
a_negctl,precision_at_3,48,0.0,0.0,0.0,0.0,1.0,true,EXPLORATORY
a_negctl,precision_at_10,48,0.008333333333333328,-0.008333333333333335,0.029166666666666657,0.009701030307255457,0.4897551224387806,false,EXPLORATORY
a_negctl,ndcg_at_10,48,-0.0017488942597839012,-0.012385386980151361,0.00886810467980358,0.005422490499719906,0.800599700149925,false,EXPLORATORY
a_negctl,spearman_rho,48,-0.0012178807982130186,-0.0027730048819273084,0.0003247160531307013,0.0008084275197627761,0.12993503248375812,false,EXPLORATORY
a_negctl,wmape,48,0.000496050799282557,-0.00027708093467985746,0.001282904841203673,0.0004048919524664927,0.22288855572213892,false,EXPLORATORY
a_negctl,demand_capture_at_3,48,-0.016095796463866725,-0.046178520600172045,0.021303226063419955,0.017373112968745597,0.39080459770114945,false,EXPLORATORY
a_negctl,demand_capture_at_10,48,0.00015084344393898343,-0.01296969193530884,0.012842782073842747,0.006746100773551614,0.9735132433783108,false,EXPLORATORY
a_negctl,demand_capture_at_20,48,0.001089132887820798,-0.0069448087981112,0.010185202315101253,0.004421406486740282,0.7946026986506747,false,EXPLORATORY
a_negctl,tolerance_hit_at_3,48,-0.006944444444444444,-0.027777777777777776,0.013888888888888888,0.009645739944904566,0.7446276861569215,false,EXPLORATORY
b,hit_at_3_in_top20,48,-1.1564823173178713e-18,-0.041666666666666664,0.041666666666666664,0.0223434540535611,1.0,false,EXPLORATORY
b,hit_at_3_in_top10,48,0.013888888888888888,-0.03472222222222222,0.06944444444444443,0.028134451869639216,0.7396301849075462,false,EXPLORATORY
b,precision_at_3,48,-0.006944444444444444,-0.027777777777777776,0.013888888888888888,0.010565248365262828,0.7756121939030485,false,EXPLORATORY
b,precision_at_10,48,-0.0041666666666666675,-0.014583333333333332,0.006249999999999999,0.005321787787253155,0.4007996001999001,false,EXPLORATORY
b,ndcg_at_10,48,-0.0038421977745955044,-0.009987954036954011,0.0019469957618310153,0.003053151373797081,0.21989005497251374,false,EXPLORATORY
b,spearman_rho,48,-0.00026152806980720675,-0.0015371530924172335,0.0010078682112516025,0.0006700173448251014,0.6796601699150425,false,EXPLORATORY
b,wmape,48,-0.00025608045383070273,-0.0010404027038938297,0.0006046390873017427,0.0004331055167066486,0.5677161419290355,false,EXPLORATORY
b,demand_capture_at_3,48,-0.006862619943640132,-0.0280415216516657,0.015023805483234818,0.010980688237554806,0.5637181409295352,false,EXPLORATORY
b,demand_capture_at_10,48,-0.007145803320128018,-0.020048662020701033,0.005496914303344245,0.006588637759366545,0.2848575712143928,false,EXPLORATORY
b,demand_capture_at_20,48,-0.0007419877612965987,-0.012115997024441796,0.01142635479827008,0.00603994995493731,0.8665667166416792,false,EXPLORATORY
b,tolerance_hit_at_3,48,0.0,-0.027777777777777776,0.027777777777777776,0.014547993019285482,1.0,false,EXPLORATORY
c,hit_at_3_in_top20,48,0.01388888888888889,-0.03472222222222222,0.06944444444444445,0.028084854410362344,0.6446776611694153,false,EXPLORATORY
c,hit_at_3_in_top10,48,-0.006944444444444444,-0.0625,0.0625,0.035095637430041994,0.8845577211394303,false,EXPLORATORY
c,precision_at_3,48,-0.006944444444444444,-0.027777777777777776,0.013888888888888888,0.012237458274607446,0.7706146926536732,false,EXPLORATORY
c,precision_at_10,48,-0.00416666666666667,-0.027083333333333334,0.020833333333333325,0.0122078021883939,0.7066466766616691,false,EXPLORATORY
c,ndcg_at_10,48,-0.0032954620247220103,-0.011337125068629985,0.00411083816265252,0.004029115795957924,0.4447776111944028,false,EXPLORATORY
c,spearman_rho,48,-0.0008774443156779795,-0.0024321080463985036,0.0006963920384312495,0.0008281694376657328,0.29985007496251875,false,EXPLORATORY
c,wmape,48,0.0002516701908345468,-0.0002163452852237613,0.00072205387411217,0.0002354783040737991,0.2748625687156422,false,EXPLORATORY
c,demand_capture_at_3,48,-0.004356906223349959,-0.027790058766454927,0.025455779751426984,0.014505632755316012,0.7436281859070465,false,EXPLORATORY
c,demand_capture_at_10,48,-0.003898690602014986,-0.013262124451925364,0.006041348660337859,0.004963677655879736,0.45077461269365315,false,EXPLORATORY
c,demand_capture_at_20,48,0.00881231675638825,0.0015626447967101679,0.01764408380923165,0.00428454954229379,0.010994502748625687,false,EXPLORATORY
c,tolerance_hit_at_3,48,-0.020833333333333332,-0.0625,0.020833333333333332,0.02222396754677952,0.4567716141929036,false,EXPLORATORY
