row_type,n,mean,median,std,lower_anchor_style_a,lower_anchor_style_b,band_lower,band_upper,lower_fraction,upper_fraction,n_non_control_styles,n_control_images
upper_anchor,183,0.5743272401738495,0.5773959653718131,0.1627160053434963,,,0.14358181004346238,0.43074543013038713,0.25,0.75,23,5
lower_anchor,8,0.09703158542979509,0.09930228563025595,0.01405970014189477,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",Divided || Dress || Dresses Ladies || Black || Solid,0.14358181004346238,0.43074543013038713,0.25,0.75,23,5
