origin_set,block,primary_n_origins,redesigned_hit,seasonal_naive_ratio_hit,primary_diff,primary_ci_lo,primary_ci_hi,primary_pass,diag_global_mean_excess_hit,diag_floor_hit,diag_diff_vs_floor,diag_ci_lo,diag_ci_hi,diag_within_0.10_of_floor,diag_not_demonstrably_above_floor,diagnostic_pass,primary_passes_on_both,diagnostic_passes_on_both,ADOPT_REDESIGNED_SCORE
grid_10,4,10,0.1,0.8,-0.7000000000000001,-0.8,-0.5333333333333333,false,0.13333333333333333,0.17666666666666667,-0.04333333333333332,-0.18,0.20337499999999975,true,true,true,false,true,false
weekly,13,41,0.1300813008130081,0.7642276422764229,-0.6341463414634148,-0.7804878048780488,-0.5040650406504066,false,0.1300813008130081,0.1585365853658537,-0.028455284552845524,-0.10935975609756098,0.08902439024390242,true,true,true,false,true,false
