term,week_start,value
black trousers,2020-01-06,71.0
black trousers,2020-01-13,67.0
black trousers,2020-01-20,68.0
black trousers,2020-01-27,68.0
black trousers,2020-02-03,63.0
black trousers,2020-02-10,63.0
black trousers,2020-02-17,67.0
black trousers,2020-02-24,65.0
black trousers,2020-03-02,67.0
black trousers,2020-03-09,55.0
black trousers,2020-03-16,32.0
black trousers,2020-03-23,25.0
black trousers,2020-03-30,32.0
black trousers,2020-04-06,35.0
black trousers,2020-04-13,35.0
black trousers,2020-04-20,36.0
black trousers,2020-04-27,42.0
black trousers,2020-05-04,44.0
black trousers,2020-05-11,45.0
black trousers,2020-05-18,48.0
black trousers,2020-05-25,45.0
black trousers,2020-06-01,48.0
black trousers,2020-06-08,52.0
black trousers,2020-06-15,54.0
black trousers,2020-06-22,50.0
black trousers,2020-06-29,62.0
black trousers,2020-07-06,60.0
black trousers,2020-07-13,59.0
black trousers,2020-07-20,60.0
black trousers,2020-07-27,66.0
black trousers,2020-08-03,68.0
black trousers,2020-08-10,71.0
black trousers,2020-08-17,89.0
black trousers,2020-08-24,99.0
black trousers,2020-08-31,93.0
black trousers,2020-09-07,78.0
black trousers,2020-09-14,61.0
black trousers,2020-09-21,63.0
black trousers,2020-09-28,67.0
grey sweater,2018-08-27,38.0
grey sweater,2018-09-03,41.0
grey sweater,2018-09-10,48.0
grey sweater,2018-09-17,51.0
grey sweater,2018-09-24,55.0
grey sweater,2018-10-01,60.0
grey sweater,2018-10-08,62.0
grey sweater,2018-10-15,69.0
grey sweater,2018-10-22,75.0
grey sweater,2018-10-29,66.0
grey sweater,2018-11-05,76.0
grey sweater,2018-11-12,86.0
grey sweater,2018-11-19,98.0
grey sweater,2018-11-26,100.0
grey sweater,2018-12-03,97.0
grey sweater,2018-12-10,100.0
grey sweater,2018-12-17,85.0
grey sweater,2018-12-24,88.0
grey sweater,2018-12-31,70.0
grey sweater,2019-01-07,77.0
grey sweater,2019-01-14,61.0
grey sweater,2019-01-21,62.0
grey sweater,2019-01-28,60.0
grey sweater,2019-02-04,52.0
grey sweater,2019-02-11,51.0
grey sweater,2019-02-18,54.0
grey sweater,2019-02-25,49.0
grey sweater,2019-03-04,46.0
grey sweater,2019-03-11,38.0
grey sweater,2019-03-18,40.0
grey sweater,2019-03-25,37.0
grey sweater,2019-04-01,35.0
grey sweater,2019-04-08,31.0
grey sweater,2019-04-15,28.0
grey sweater,2019-04-22,27.0
grey sweater,2019-04-29,28.0
grey sweater,2019-05-06,28.0
grey sweater,2019-05-13,25.0
grey sweater,2019-05-20,25.0
grey sweater,2019-05-27,26.0
grey sweater,2019-06-03,24.0
grey sweater,2019-06-10,25.0
grey sweater,2019-06-17,24.0
grey sweater,2019-06-24,25.0
grey sweater,2019-07-01,20.0
grey sweater,2019-07-08,24.0
grey sweater,2019-07-15,23.0
grey sweater,2019-07-22,25.0
grey sweater,2019-07-29,31.0
grey sweater,2019-08-05,29.0
grey sweater,2019-08-12,38.0
grey sweater,2019-08-19,34.0
grey sweater,2019-08-26,38.0
grey sweater,2019-09-02,39.0
grey sweater,2019-09-09,46.0
grey sweater,2019-09-16,47.0
grey sweater,2019-09-23,49.0
grey sweater,2019-09-30,58.0
grey sweater,2019-10-07,60.0
grey sweater,2019-10-14,72.0
grey sweater,2019-10-21,71.0
grey sweater,2019-10-28,69.0
grey sweater,2019-11-04,78.0
grey sweater,2019-11-11,83.0
grey sweater,2019-11-18,85.0
grey sweater,2019-11-25,92.0
grey sweater,2019-12-02,96.0
grey sweater,2019-12-09,88.0
