comparator,metric,n_paired,mean_diff,ci_lo,ci_hi,ci_half_width,se_block,ess_ac,ess_boot,mde_80,excludes_zero
seasonal_naive,hit_at_3_in_top20,42,0.09523809523809526,-0.03968253968253968,0.2777777777777778,0.15873015873015872,0.08476677530236167,15.310426540284357,15.301803118566209,0.23748134467419987,false
seasonal_naive,hit_at_3_in_top10,42,2.64338815386942e-18,-0.08730158730158728,0.1587301587301587,0.123015873015873,0.06238319193948714,18.827586206896548,16.71281826834164,0.17477182839637123,false
seasonal_naive,precision_at_3,42,-0.023809523809523808,-0.10317460317460317,0.047619047619047616,0.07539682539682539,0.038556258457994534,32.962563237774035,23.308206840340407,0.1080186437616606,false
seasonal_naive,precision_at_10,42,0.011904761904761908,-0.023809523809523808,0.04523809523809524,0.034523809523809526,0.01744498632399054,41.71325186044924,35.588068873780614,0.04887361581547478,false
seasonal_naive,ndcg_at_10,42,0.12959223747804227,0.07979014947855802,0.22599902486984708,0.07310443769564454,0.037367214639090304,6.133737762375788,6.386002181659842,0.10468743617492991,true
seasonal_naive,spearman_rho,42,0.19989955771452939,0.19188678303052234,0.24072740499516923,0.024420310982323445,0.012554387314495149,9.17995368370381,22.90738265780199,0.035172185922754576,true
seasonal_naive,wmape,42,-0.04121114202856945,-0.0546789506446948,-0.03394688860257966,0.01036603102105757,0.005473709302975622,8.511919225521744,23.875720163631083,0.015335063071463942,true
seasonal_naive,demand_capture_at_3,42,0.14954473396735984,0.03721905960716154,0.3192270134729889,0.14100397693291367,0.07314007783856925,9.103480406485513,8.398612150714536,0.20490816092416753,true
seasonal_naive,demand_capture_at_10,42,0.18395376763984328,0.15025375768662325,0.26645491160337575,0.058100576958376254,0.02983486009271062,11.580979257164843,12.623136419320797,0.08358490302020659,true
seasonal_naive,demand_capture_at_20,42,0.18511140433164877,0.1755098668235381,0.24473584092832915,0.034612987052395516,0.017813313443876388,13.997969182530754,23.217280680580167,0.0499055156299771,true
seasonal_naive,tolerance_hit_at_3,42,-0.007936507936507936,-0.10317460317460317,0.10317460317460317,0.10317460317460317,0.05303133698146192,30.40393160091557,22.140453087502312,0.1485718097840313,false
