method,split,metric,n_origins,mean,ci_low,ci_high,diff_vs_lightgbm_mean,diff_vs_lightgbm_ci_low,diff_vs_lightgbm_ci_high
l2_top_heavy_weighted,pooled,hit_at_3_in_top20,12,0.638888888888889,0.5555555555555556,0.8333333333333331,-0.08333333333333333,-0.16666666666666666,-0.05555555555555556
l2_top_heavy_weighted,pooled,hit_at_3_in_top10,12,0.5,0.4166666666666667,0.7222222222222223,-4.625929269271485e-18,-0.08333333333333336,0.08333333333333333
l2_top_heavy_weighted,pooled,precision_at_3,12,0.1111111111111111,0.05555555555555555,0.19444444444444442,0.05555555555555555,0.027777777777777776,0.08333333333333333
l2_top_heavy_weighted,pooled,precision_at_10,12,0.26666666666666666,0.2583333333333333,0.36666666666666664,0.008333333333333331,0.0,0.024999999999999994
l2_top_heavy_weighted,pooled,ndcg_at_10,12,0.9007551364678403,0.8784212132552863,0.939147946577512,0.0006936168407603768,-0.007754301882511925,0.00614075620741511
l2_top_heavy_weighted,pooled,spearman_rho,12,0.789955679570526,0.7711249929110271,0.8169534530681649,-0.013269854149292012,-0.021821383227699404,-0.010936833235531943
l2_top_heavy_weighted,pooled,wmape,12,0.14151793219926687,0.12498734502275728,0.1549880330801888,0.0027009966703812048,0.0007346058983738179,0.004593532398970227
l2_top_heavy_weighted,covid,hit_at_3_in_top20,7,0.7142857142857143,0.6666666666666666,0.8571428571428571,-0.04761904761904762,-0.09523809523809525,-0.04761904761904762
l2_top_heavy_weighted,covid,hit_at_3_in_top10,7,0.5714285714285714,0.47619047619047616,0.8571428571428571,0.04761904761904762,0.0,0.09523809523809525
l2_top_heavy_weighted,covid,precision_at_3,7,0.14285714285714285,0.09523809523809523,0.23809523809523808,0.047619047619047616,0.0,0.09523809523809523
l2_top_heavy_weighted,covid,precision_at_10,7,0.2571428571428572,0.24285714285714288,0.38571428571428573,0.014285714285714282,0.0,0.028571428571428564
l2_top_heavy_weighted,covid,ndcg_at_10,7,0.9252438029002067,0.9216169494664473,0.9515214524886437,0.0026005009013730135,-0.00010807719631118167,0.008217200835207399
l2_top_heavy_weighted,covid,spearman_rho,7,0.8097189751694459,0.7842994167419457,0.8304499883434929,-0.009669069899191949,-0.015384470860800683,-0.009669069899191949
l2_top_heavy_weighted,covid,wmape,7,0.1300113177069216,0.12020269201358609,0.14404776829784788,0.0017627154346388368,0.0004280853439815364,0.0026897881313539896
l2_top_heavy_weighted,non_covid,hit_at_3_in_top20,5,0.5333333333333333,0.3333333333333333,0.6666666666666666,-0.13333333333333336,-0.13333333333333336,-0.13333333333333336
l2_top_heavy_weighted,non_covid,hit_at_3_in_top10,5,0.4,0.26666666666666666,0.4666666666666667,-0.06666666666666668,-0.13333333333333336,-0.06666666666666668
l2_top_heavy_weighted,non_covid,precision_at_3,5,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
l2_top_heavy_weighted,non_covid,precision_at_10,5,0.27999999999999997,0.18,0.31999999999999995,0.0,0.0,0.0
l2_top_heavy_weighted,non_covid,ndcg_at_10,5,0.8664710034625275,0.8176182685846245,0.9076894878108931,-0.001976020844097315,-0.007481489669787189,0.0034985502245850507
l2_top_heavy_weighted,non_covid,spearman_rho,5,0.762287065732038,0.741125445568637,0.7657922708394918,-0.0183109520994321,-0.028318312439986105,-0.012888234966926971
l2_top_heavy_weighted,non_covid,wmape,5,0.15762719248855023,0.15062840746946854,0.17756170574572136,0.00401459040042052,0.003996758029722808,0.004795319881732987
l2_two_stage,pooled,hit_at_3_in_top20,12,0.5833333333333334,0.47222222222222227,0.8062499999999964,-0.13888888888888887,-0.25,-0.05555555555555555
l2_two_stage,pooled,hit_at_3_in_top10,12,0.3888888888888889,0.3055555555555555,0.5833333333333334,-0.1111111111111111,-0.19444444444444445,-0.055555555555555546
l2_two_stage,pooled,precision_at_3,12,0.13888888888888887,0.05555555555555555,0.2777777777777778,0.08333333333333333,0.05555555555555555,0.16666666666666666
l2_two_stage,pooled,precision_at_10,12,0.24999999999999997,0.19999999999999998,0.36666666666666664,-0.008333333333333337,-0.06666666666666668,0.075
l2_two_stage,pooled,ndcg_at_10,12,0.8757436143817955,0.842627382681938,0.9216392668838015,-0.024317905245284516,-0.04748187592788189,-0.00978737627428705
l2_two_stage,pooled,spearman_rho,12,0.8032139757121227,0.787771267421915,0.8300106038690279,-0.000011558007695246694,-0.000013794357196940851,-8.446795629159695e-6
l2_two_stage,pooled,wmape,12,15.331556242162497,14.088609890031366,15.961876674045255,15.192739306633612,13.95260427351797,15.821965405406745
l2_two_stage,covid,hit_at_3_in_top20,7,0.6666666666666666,0.6666666666666666,0.9047619047619048,-0.09523809523809525,-0.14285714285714285,0.0
l2_two_stage,covid,hit_at_3_in_top10,7,0.4285714285714285,0.3333333333333333,0.6666666666666667,-0.09523809523809523,-0.19047619047619047,-0.047619047619047596
l2_two_stage,covid,precision_at_3,7,0.19047619047619047,0.19047619047619047,0.3333333333333333,0.09523809523809523,0.09523809523809523,0.19047619047619047
l2_two_stage,covid,precision_at_10,7,0.27142857142857146,0.2714285714285714,0.3714285714285714,0.028571428571428574,-0.05714285714285715,0.08571428571428573
l2_two_stage,covid,ndcg_at_10,7,0.9068217461314204,0.897672787502429,0.9303235934428532,-0.0158215558674132,-0.025254080486280608,-0.009578846882423877
l2_two_stage,covid,spearman_rho,7,0.8193763525964517,0.7957133754695619,0.8416286515353606,-0.000011692472186226282,-0.000012921033816290109,-7.2057179520492094e-6
l2_two_stage,covid,wmape,7,14.658923982982545,13.791569902155205,14.994605433980695,14.530675380710262,13.655562337565913,14.875152262079252
l2_two_stage,non_covid,hit_at_3_in_top20,5,0.4666666666666666,0.26666666666666666,0.4666666666666666,-0.2,-0.3333333333333333,-0.2
l2_two_stage,non_covid,hit_at_3_in_top10,5,0.3333333333333333,0.2,0.3333333333333333,-0.13333333333333336,-0.26666666666666666,-0.13333333333333336
l2_two_stage,non_covid,precision_at_3,5,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
l2_two_stage,non_covid,precision_at_10,5,0.22000000000000003,0.1,0.24000000000000005,-0.06000000000000001,-0.1,-0.06000000000000001
l2_two_stage,non_covid,ndcg_at_10,5,0.8322342299323203,0.778117651798701,0.8665608698982827,-0.03621279437430436,-0.048610107582397366,-0.03600206656133835
l2_two_stage,non_covid,spearman_rho,5,0.7805866480740621,0.7540025496643774,0.7940973614937538,-0.00001136975740787527,-0.00001322178572398247,-0.000011130871186559865
l2_two_stage,non_covid,wmape,5,16.27324140501443,16.092877483675984,16.864474336750362,16.119628802926304,15.920111097811997,16.717842687310615
ensemble_rank_avg,pooled,hit_at_3_in_top20,12,0.6944444444444443,0.5833333333333334,0.9444444444444443,-0.027777777777777773,-0.1111111111111111,0.08333333333333333
ensemble_rank_avg,pooled,hit_at_3_in_top10,12,0.5833333333333334,0.5,0.8333333333333334,0.08333333333333333,-0.05555555555555555,0.22222222222222224
