ip_adapter_scale,seed,clip_margin,dino_margin
0.2,42,0.06611748933792116,0.7138934608016696
0.2,43,0.11234436546053206,0.7108011223375797
0.2,44,0.11205869913101196,0.7357534874762808
0.3,42,0.09295580898012434,0.7180309706500598
0.3,43,0.12036253043583456,0.7304574627961431
0.3,44,0.11801051582608901,0.7320270715015275
0.4,42,0.10119308062962118,0.7283916518092155
0.4,43,0.13220410346984868,0.7433400139212608
0.4,44,0.12314426898956299,0.737856702719416
0.5,42,0.11469248703547885,0.7370116018823215
0.5,43,0.13700061185019352,0.7407974192074367
0.5,44,0.1317248753138951,0.739920390716621
0.6,42,0.13352236407143736,0.7484899552805083
0.6,43,0.1305497220584324,0.7239378395889486
0.6,44,0.13789128235408243,0.7214973754116467
0.7,42,0.1390624948910305,0.7312637622867313
0.7,43,0.14232049669538227,0.7081606952207429
0.7,44,0.13775969403130672,0.7086319014430046
0.8,42,0.14801815407616759,0.6899944426757949
0.8,43,0.1490455508232117,0.6783117598720959
0.8,44,0.13878256763730734,0.7047552794218064
0.9,42,0.14833664723805018,0.679016537964344
0.9,43,0.15282109294618873,0.6869524065937314
0.9,44,0.131509302343641,0.700565387734345
