feature,mean_abs_shap
lag_1,0.3963504111585506
n_active_articles_level,0.22173175545692386
product_type_name,0.08375880181827584
fourier_sin_1,0.06032402186697005
perceived_colour_master_name,0.057252921298478934
index_group_name,0.05710911585292985
n_active_articles_trend_13w,0.047592582568338856
garment_group_name,0.04324896669682383
graphical_appearance_name,0.03717243612583783
lag_2,0.030613301611632324
share_garment_group,0.028055334757929113
slope_13w,0.026437024715437987
fourier_sin_2,0.024271114842311873
price_index_level,0.02318122256114496
share_index_group,0.02183643058606453
lag_52,0.020872934841302117
fourier_cos_2,0.016872529149597054
ewma_halflife_13w,0.015318336013297462
weeks_since_first_seen,0.012480159838229365
ewma_halflife_4w,0.01132063611296538
price_index_trend_13w,0.011110432099633123
slope_4w,0.009936082150722553
fourier_cos_1,0.009586194030257168
lag_4,0.005670284227981098
lag_13,0.0047521520947148965
lag_8,0.003968142739025906
