variant,seed,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,spearman_rho,ndcg_at_10
unshuffled_positive_control,,0.7222222222222222,0.5,0.05555555555555555,0.803225533719818,0.9000615196270797
shuffled_train_true_test,42,0.0,0.0,0.0,-0.014972082704658059,0.3955728909943978
shuffled_train_shuffled_test,42,0.0,0.0,0.0,-0.002158627923444145,0.40519095400652455
shuffled_train_true_test,43,0.0,0.0,0.0,-0.0488185319145494,0.34093365200106934
shuffled_train_shuffled_test,43,0.0,0.0,0.0,-0.00672646053412783,0.418724141051954
shuffled_train_true_test,44,0.0,0.0,0.0,0.027269571316356794,0.4509348929685672
shuffled_train_shuffled_test,44,0.027777777777777776,0.027777777777777776,0.0,0.005377344194427612,0.379617646502717
shuffled_train_true_test_MEAN_OF_SEEDS,,0.0,0.0,0.0,-0.01217368110095022,0.39581381198801147
committed_lightgbm,,0.7222222222222222,0.5,0.05555555555555555,0.803225533719818,0.9000615196270797
committed_random_floor,,0.006944444444444445,0.006944444444444445,0.004166666666666667,0.000030598526601601146,0.3958314390647663
