origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape
2019-07-29,lambdarank,false,false,3037,3037,0.0,0.0,0.0,0.0,0.7344544582806003,0.4309548772057516,4.5814249802373
2019-08-26,lambdarank,false,false,3043,3043,0.0,0.0,0.0,0.0,0.8278101169503705,0.4033157197663486,4.710468722568915
2019-09-23,lambdarank,true,false,3042,3042,0.6666666666666666,0.3333333333333333,0.0,0.2,0.9121124976722474,0.5332200625500967,4.330590494129523
2019-10-21,lambdarank,true,false,3042,3042,1.0,0.6666666666666666,0.0,0.3,0.8585841027745232,0.46514993877102945,4.530044428243594
2019-11-18,lambdarank,true,false,3028,3028,1.0,1.0,0.3333333333333333,0.5,0.9466041954407975,0.49242040847744756,4.436403079175002
2019-12-16,lambdarank,true,true,3014,3014,0.6666666666666666,0.0,0.0,0.0,0.8868010796000785,0.5913728295825682,4.518457302375692
2020-01-13,lambdarank,true,true,3009,3009,0.3333333333333333,0.0,0.0,0.3,0.9117737142011996,0.5419987842739331,4.374578727196267
2020-02-10,lambdarank,true,true,3007,3007,1.0,0.6666666666666666,0.0,0.2,0.8807026526521095,0.5088265339194936,4.387259174238653
2020-03-09,lambdarank,true,true,2991,2991,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.8511901691490488,0.5226917057377668,4.249932217849805
2020-04-06,lambdarank,true,true,2956,2956,1.0,1.0,0.6666666666666666,0.3,0.9580773111324138,0.6395495275379387,3.7290887637712102
2020-05-04,lambdarank,true,true,2906,2906,1.0,0.6666666666666666,0.0,0.3,0.9455150835038802,0.5709917726983661,3.907397755536979
2020-06-01,lambdarank,true,true,2763,2763,0.0,0.0,0.0,0.1,0.8609532825914886,0.6571097729055199,3.954078138766422
