style_id,seed,is_selected,old_copy_check_pass,clip_mean_sim,clip_benchmark,clip_pass,clip_max_sim,clip_nn_benchmark,clip_nn_pass,dinov2_mean_sim,dinov2_benchmark,dinov2_pass,dinov2_max_sim,dinov2_nn_benchmark,dinov2_nn_pass,gate1_new_pass
Ladieswear || T-shirt || Jersey Basic || Black || Solid,42,false,false,0.9110437631607056,0.9544307589530945,true,0.9279841184616089,0.9695101380348206,true,0.8681649267673492,0.8510619401931763,false,0.900909960269928,0.8962948322296143,false,false
Ladieswear || T-shirt || Jersey Basic || Black || Solid,43,true,false,0.9450633327166239,0.9544307589530945,true,0.9710571765899658,0.9695101380348206,false,0.8819671074549357,0.8510619401931763,false,0.9130043387413025,0.8962948322296143,false,false
Ladieswear || T-shirt || Jersey Basic || Black || Solid,44,false,false,0.9410235285758972,0.9544307589530945,true,0.9656562805175781,0.9695101380348206,true,0.8842517534891764,0.8510619401931763,false,0.9198736548423767,0.8962948322296143,false,false
Ladieswear || T-shirt || Jersey Basic || Black || Solid,45,false,false,0.9130054215590159,0.9544307589530945,true,0.9332824349403381,0.9695101380348206,true,0.8511611421902975,0.8510619401931763,false,0.8928512930870056,0.8962948322296143,true,false
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",42,false,false,0.8972986713051796,0.9429365694522858,true,0.9236710667610168,0.9697921276092529,true,0.8341056108474731,0.9075632393360138,true,0.8768961429595947,0.9372025430202484,true,true
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",43,false,false,0.9413348138332367,0.9429365694522858,true,0.9663467407226562,0.9697921276092529,true,0.8855285197496414,0.9075632393360138,true,0.9100697040557861,0.9372025430202484,true,true
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",44,true,false,0.9096886590123177,0.9429365694522858,true,0.9263606071472168,0.9697921276092529,true,0.8237887769937515,0.9075632393360138,true,0.8603270649909973,0.9372025430202484,true,true
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",45,false,false,0.9234908744692802,0.9429365694522858,true,0.9394123554229736,0.9697921276092529,true,0.8671384677290916,0.9075632393360138,true,0.8994553089141846,0.9372025430202484,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,42,true,false,0.9239244957764944,0.9357653260231018,true,0.962539792060852,0.9539322555065155,false,0.8357375065485636,0.7760577201843262,false,0.9184337854385376,0.8639847636222839,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,43,false,false,0.9321455458799998,0.9357653260231018,true,0.9647617936134338,0.9539322555065155,false,0.8418346047401428,0.7760577201843262,false,0.926376461982727,0.8639847636222839,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,44,false,false,0.9288922945658366,0.9357653260231018,true,0.9608191251754761,0.9539322555065155,false,0.819193830092748,0.7760577201843262,false,0.8965817093849182,0.8639847636222839,false,false
Ladieswear || Sweater || Knitwear || Beige || Melange,45,false,false,0.9406017561753591,0.9357653260231018,false,0.9678443074226379,0.9539322555065155,false,0.8080373704433441,0.7760577201843262,false,0.8919881582260132,0.8639847636222839,false,false
