origin_week,method,top3_mean_realised_growth,population_mean_realised_growth,lift
2019-09-23,lightgbm,1.742421240483741,0.9057767209485319,1.9236763323516115
2019-09-23,seasonal_naive,2.8694972526828355,0.9057767209485319,3.1679962471081065
2019-09-23,ewma_persistence,1.1758824571947437,0.9057767209485319,1.2982034424149875
2019-09-23,parent_category_mean,1.502265247896805,0.9057767209485319,1.6585381509072443
2019-09-23,global_mean,1.502265247896805,0.9057767209485319,1.6585381509072443
2019-10-21,lightgbm,1.9421592671951018,0.9290249506772141,2.0905350989544056
2019-10-21,seasonal_naive,1.7988977101458143,0.9290249506772141,1.936328737817542
2019-10-21,ewma_persistence,0.6826183073944634,0.9290249506772141,0.7347685408199939
2019-10-21,parent_category_mean,1.9532970502505453,0.9290249506772141,2.1025237791801894
2019-10-21,global_mean,1.9532970502505453,0.9290249506772141,2.1025237791801894
2019-11-18,lightgbm,1.8086699891695774,0.9748568222473815,1.8553185943757042
2019-11-18,seasonal_naive,1.579268393640658,0.9748568222473815,1.620000350410329
2019-11-18,ewma_persistence,1.7124526263086108,0.9748568222473815,1.7566196258039375
2019-11-18,parent_category_mean,2.120066348597439,0.9748568222473815,2.1747463834842478
2019-11-18,global_mean,2.120066348597439,0.9748568222473815,2.1747463834842478
2019-12-16,lightgbm,3.6489698166743785,0.8428719101269934,4.32921037328744
2019-12-16,seasonal_naive,3.6489698166743785,0.8428719101269934,4.32921037328744
2019-12-16,ewma_persistence,3.6489698166743785,0.8428719101269934,4.32921037328744
2019-12-16,parent_category_mean,3.648969816674379,0.8428719101269934,4.329210373287441
2019-12-16,global_mean,3.648969816674379,0.8428719101269934,4.329210373287441
2020-01-13,lightgbm,3.3534413670040557,1.297301861472659,2.5849352926984377
2020-01-13,seasonal_naive,2.78256190839558,1.297301861472659,2.144883924884604
2020-01-13,ewma_persistence,3.3534413670040557,1.297301861472659,2.5849352926984377
2020-01-13,parent_category_mean,3.873961237789332,1.297301861472659,2.986167948137934
2020-01-13,global_mean,3.873961237789332,1.297301861472659,2.986167948137934
2020-02-10,lightgbm,3.2147722026874264,1.3943205277188455,2.3056192165132217
2020-02-10,seasonal_naive,2.538425219117007,1.3943205277188455,1.8205464013858812
2020-02-10,ewma_persistence,3.5297251938290928,1.3943205277188455,2.5315019923029034
2020-02-10,parent_category_mean,2.706651915022602,1.3943205277188455,1.9411977814389452
2020-02-10,global_mean,3.050040717119319,1.3943205277188455,2.18747458456291
2020-03-09,lightgbm,3.045246416877047,1.541818701737601,1.9751001939755373
2020-03-09,seasonal_naive,3.2174788823740497,1.541818701737601,2.086807533692522
2020-03-09,ewma_persistence,3.69006654470074,1.541818701737601,2.393320654719069
2020-03-09,parent_category_mean,3.7630810043323177,1.541818701737601,2.4406767151620326
2020-03-09,global_mean,3.263397453739491,1.541818701737601,2.116589615926764
2020-04-06,lightgbm,2.8353523053846956,1.3383402049093063,2.1185587154776058
2020-04-06,seasonal_naive,3.26761100750755,1.3383402049093063,2.4415398980926395
2020-04-06,ewma_persistence,2.340931678191271,1.3383402049093063,1.7491305047881351
2020-04-06,parent_category_mean,2.1434496060280517,1.3383402049093063,1.6015730515794409
2020-04-06,global_mean,2.298361336493304,1.3383402049093063,1.7173221936114924
2020-05-04,lightgbm,1.6881005464773384,1.078139729506797,1.5657530283663441
2020-05-04,seasonal_naive,2.063856163864395,1.078139729506797,1.9142752162639636
2020-05-04,ewma_persistence,1.4743681647709008,1.078139729506797,1.3675112088164691
2020-05-04,parent_category_mean,1.9154695916624993,1.078139729506797,1.7766431745713935
2020-05-04,global_mean,1.9154695916624993,1.078139729506797,1.7766431745713935
2020-06-01,lightgbm,1.4783774230793885,0.9170610752408377,1.6120817500526214
2020-06-01,seasonal_naive,1.4103331799703456,0.9170610752408377,1.5378835914499644
2020-06-01,ewma_persistence,1.2609324706281062,0.9170610752408377,1.3749710948062661
2020-06-01,parent_category_mean,1.3223682341374845,0.9170610752408377,1.4419631034827265
2020-06-01,global_mean,1.2819780002826464,0.9170610752408377,1.3979199803524258
