comparator,rule_a,rule_b,beats,hit_diff,hit_ci_lo,hit_ci_hi,ndcg_ci_lo,spearman_ci_lo,n_origins
seasonal_naive,false,false,false,-0.1,-0.23333333333333334,-5.551115123125783e-18,-0.06927116121352572,-0.0992656940505767,10
ewma_persistence,false,false,false,0.1,-0.06666666666666668,0.16666666666666669,-0.03732746609949662,-0.00901140141511062,10
parent_category_mean,false,true,true,0.13333333333333333,-0.0666666666666667,0.26666666666666666,0.11227103221003365,0.16080832621005037,10
global_mean,true,true,true,0.4666666666666667,0.3,0.7,0.2246211761112514,0.21299970168702834,10
random_floor,true,true,true,0.44499999999999995,0.3533333333333333,0.6183333333333333,0.24818275262339204,0.4695333804758038,10
