row_type,n,mean,median,std,lower_anchor_style_a,lower_anchor_style_b,band_lower,band_upper,lower_fraction,upper_fraction,n_non_control_styles,n_control_images
upper_anchor,183,0.1300362775420696,0.13635842629841388,0.03907925668281206,,,0.0325090693855174,0.09752720815655219,0.25,0.75,23,5
lower_anchor,8,-0.016376508213579652,-0.014934150874614693,0.012862228683098584,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",Divided || Dress || Dresses Ladies || Black || Solid,0.0325090693855174,0.09752720815655219,0.25,0.75,23,5
