comparator,metric,n_paired,mean_diff,ci_lo,ci_hi,ci_half_width,se_block,ess_ac,ess_boot,mde_80,excludes_zero
seasonal_naive,hit_at_3_in_top20,42,0.09523809523809526,-0.03968253968253968,0.2777777777777778,0.15873015873015872,0.08476677530236167,15.310426540284357,15.301803118566209,0.23748134467419987,false
seasonal_naive,hit_at_3_in_top10,42,2.64338815386942e-18,-0.08730158730158728,0.1587301587301587,0.123015873015873,0.06238319193948714,18.827586206896548,16.71281826834164,0.17477182839637123,false
seasonal_naive,precision_at_3,42,-0.023809523809523808,-0.10317460317460317,0.047619047619047616,0.07539682539682539,0.038556258457994534,32.962563237774035,23.308206840340407,0.1080186437616606,false
seasonal_naive,precision_at_10,42,0.011904761904761908,-0.023809523809523808,0.04523809523809524,0.034523809523809526,0.01744498632399054,41.71325186044924,35.588068873780614,0.04887361581547478,false
seasonal_naive,ndcg_at_10,42,0.12959223747804227,0.07979014947855802,0.22599902486984708,0.07310443769564454,0.037367214639090304,6.133737762375788,6.386002181659842,0.10468743617492991,true
seasonal_naive,spearman_rho,42,0.19989955771452939,0.19188678303052234,0.24072740499516923,0.024420310982323445,0.012554387314495149,9.17995368370381,22.90738265780199,0.035172185922754576,true
seasonal_naive,wmape,42,-0.04121114202856945,-0.0546789506446948,-0.03394688860257966,0.01036603102105757,0.005473709302975622,8.511919225521744,23.875720163631083,0.015335063071463942,true
seasonal_naive,demand_capture_at_3,42,0.14954473396735984,0.03721905960716154,0.3192270134729889,0.14100397693291367,0.07314007783856925,9.103480406485513,8.398612150714536,0.20490816092416753,true
seasonal_naive,demand_capture_at_10,42,0.18395376763984328,0.15025375768662325,0.26645491160337575,0.058100576958376254,0.02983486009271062,11.580979257164843,12.623136419320797,0.08358490302020659,true
seasonal_naive,demand_capture_at_20,42,0.18511140433164877,0.1755098668235381,0.24473584092832915,0.034612987052395516,0.017813313443876388,13.997969182530754,23.217280680580167,0.0499055156299771,true
seasonal_naive,tolerance_hit_at_3,42,-0.007936507936507936,-0.10317460317460317,0.10317460317460317,0.10317460317460317,0.05303133698146192,30.40393160091557,22.140453087502312,0.1485718097840313,false
ewma_persistence,hit_at_3_in_top20,48,0.1597222222222222,0.11111111111111112,0.27100694444444345,0.07994791666666617,0.042765353072750686,33.956145030693065,36.16681661375877,0.11981078101600033,true
ewma_persistence,hit_at_3_in_top10,48,0.09722222222222222,-0.027777777777777776,0.25,0.1388888888888889,0.0711400546998925,16.552597891069382,13.040516832474403,0.19930492566296681,false
ewma_persistence,precision_at_3,48,0.041666666666666664,0.006944444444444444,0.09722222222222221,0.04513888888888888,0.023273443166521926,33.85594013096353,31.64290596198729,0.0652025343499201,true
ewma_persistence,precision_at_10,48,0.035416666666666666,-0.014583333333333332,0.08541666666666665,0.049999999999999996,0.026291997154550578,18.581723837289083,15.075314481833585,0.07365927058285712,false
ewma_persistence,ndcg_at_10,48,0.06185110935424102,0.03155366640739977,0.09883299195202148,0.033639662772310855,0.017503058747750152,8.354336047007491,9.199577083174756,0.04903631065945971,true
ewma_persistence,spearman_rho,48,0.1162035180907186,0.09309982316626449,0.1709972314813197,0.03894870415752761,0.019998032203687066,8.196283180686601,12.835304046508623,0.05602619141319679,true
ewma_persistence,wmape,48,-0.02995413351877661,-0.044906363022704864,-0.028492272186971805,0.00820704541786653,0.004160757687618178,10.195073138885295,25.613802278728084,0.011656717233780983,true
ewma_persistence,demand_capture_at_3,48,0.10988792555033748,0.04393719117868738,0.16865424901661702,0.06235852891896482,0.032168690537939235,18.10997081402855,14.688700923428803,0.09012332789714107,true
ewma_persistence,demand_capture_at_10,48,0.10593449384510202,0.06540221209115558,0.16598334148618585,0.05029056469751513,0.026321439303173804,16.607015173317905,13.57915230252167,0.07374175527122943,true
ewma_persistence,demand_capture_at_20,48,0.11362276268049147,0.09829897839090125,0.16871061250176747,0.03520581705543311,0.018082127835127363,15.536045761574302,21.54838639849381,0.050658622054921866,true
ewma_persistence,tolerance_hit_at_3,48,0.06944444444444443,0.0,0.16666666666666666,0.08333333333333333,0.04243486625841165,20.49388704972304,18.270447395496095,0.11888489404216684,false
parent_category_mean,hit_at_3_in_top20,48,0.3958333333333333,0.36111111111111116,0.5902777777777778,0.11458333333333331,0.05855096626901553,20.626230498238552,35.38463122512931,0.1640355216055049,true
parent_category_mean,hit_at_3_in_top10,48,0.2569444444444444,0.20138888888888887,0.45156249999999903,0.12508680555555507,0.0670123981298148,14.973810116288318,17.098349512213805,0.18774094403079025,true
parent_category_mean,precision_at_3,48,0.048611111111111105,0.013888888888888888,0.10416666666666667,0.045138888888888895,0.025104288579275,31.306944959937134,29.93100724454126,0.07033180379493904,true
parent_category_mean,precision_at_10,48,0.15208333333333332,0.10416666666666667,0.25,0.07291666666666666,0.037996073797597854,14.001612273366057,13.26070652509586,0.10644923869767962,true
parent_category_mean,ndcg_at_10,48,0.5967451043648823,0.46897630831348136,0.7037839233083288,0.11740380749742374,0.06147867884144244,9.302691104983788,7.421281657237282,0.17223775787129963,true
parent_category_mean,spearman_rho,48,0.46334945075173367,0.4218183605216206,0.509821898439245,0.04400176895881219,0.02233495031383716,6.75284238613748,13.097557873566199,0.06257326664653379,true
parent_category_mean,wmape,48,-0.07996961851924726,-0.1011210638800036,-0.06955928896146696,0.015780887459268318,0.00824731545654863,7.994916937586601,16.83743396824019,0.02310555707218125,true
parent_category_mean,demand_capture_at_3,48,0.5071025192370217,0.43495989205727037,0.6447440559927264,0.10489208196772803,0.05502314445028651,11.272320226791726,12.392440475823548,0.1541520281460173,true
