method,n_origins,mean_lift,ci_lo,ci_hi
lightgbm,10,2.236078859605293,1.9182378535534927,2.8849228502176674
seasonal_naive,10,2.2999472274392994,2.0151029224012498,2.7442271056763716
ewma_persistence,10,2.012017273045764,1.7417785990380448,2.8602759273037672
parent_category_mean,10,2.2453240461231596,1.905920628558646,3.0339349291863753
global_mean,10,2.244713618402204,1.863859509568662,3.0527469327430232
