reading,mean_score,threshold,image
1,0.5666666666666667,0.513235294117647,data\generated\seasonal_summer\ladieswear_swimwear-bottom_swimwear_black_other-structure_seed43.png
2,0.31363636363636366,0.513235294117647,data\generated\seasonal_summer\ladieswear_swimwear-bottom_swimwear_black_other-structure_seed43.png
3,0.375,0.513235294117647,data\generated\seasonal_summer\ladieswear_swimwear-bottom_swimwear_black_other-structure_seed43.png
