style_id,seed,attempt,image_path,clip_mean_sim,dinov2_mean_sim,clip_p90_threshold,dinov2_p90_threshold,gate1_pass,clip_max_sim,dinov2_max_sim,clip_gate1b_threshold,dinov2_gate1b_threshold,gate1b_pass,clone_gate1b_pass
Ladieswear || T-shirt || Jersey Basic || Black || Solid,42,2,data\generated\final_concepts_m3\attempt2\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,0.9269503553708395,0.8700100580851237,0.969795036315918,0.896066951751709,true,0.9457623958587646,0.8999978303909302,0.9781906008720398,0.9112358093261719,true,false
Ladieswear || T-shirt || Jersey Basic || Black || Solid,43,2,data\generated\final_concepts_m3\attempt2\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,0.9484170377254486,0.8915198942025503,0.969795036315918,0.896066951751709,true,0.9743583798408508,0.9135111570358276,0.9781906008720398,0.9112358093261719,false,false
Ladieswear || T-shirt || Jersey Basic || Black || Solid,44,2,data\generated\final_concepts_m3\attempt2\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,0.943920224905014,0.88548677166303,0.969795036315918,0.896066951751709,true,0.9642943143844604,0.9131791591644287,0.9781906008720398,0.9112358093261719,false,false
Ladieswear || T-shirt || Jersey Basic || Black || Solid,45,2,data\generated\final_concepts_m3\attempt2\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,0.8987256983915964,0.8528806765874227,0.969795036315918,0.896066951751709,true,0.9182046055793762,0.8975705504417419,0.9781906008720398,0.9112358093261719,true,false
Ladieswear || Sweater || Knitwear || Beige || Melange,42,2,data\generated\final_concepts_m3\attempt2\ladieswear_sweater_knitwear_beige_melange_seed42.png,0.9379350741704305,0.8365939855575562,0.9555519700050354,0.8664027571678161,true,0.970655620098114,0.917237401008606,0.984673023223877,0.94163978099823,true,false
Ladieswear || Sweater || Knitwear || Beige || Melange,43,2,data\generated\final_concepts_m3\attempt2\ladieswear_sweater_knitwear_beige_melange_seed43.png,0.9262192149957021,0.7955697973569235,0.9555519700050354,0.8664027571678161,true,0.9595514535903931,0.886954128742218,0.984673023223877,0.94163978099823,true,false
Ladieswear || Sweater || Knitwear || Beige || Melange,44,2,data\generated\final_concepts_m3\attempt2\ladieswear_sweater_knitwear_beige_melange_seed44.png,0.9323367873827616,0.8040096859137217,0.9555519700050354,0.8664027571678161,true,0.960911750793457,0.8816726207733154,0.984673023223877,0.94163978099823,true,false
Ladieswear || Sweater || Knitwear || Beige || Melange,45,2,data\generated\final_concepts_m3\attempt2\ladieswear_sweater_knitwear_beige_melange_seed45.png,0.9315399626890818,0.795993814865748,0.9555519700050354,0.8664027571678161,true,0.961064875125885,0.8739800453186035,0.984673023223877,0.94163978099823,true,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,42,2,data\generated\final_concepts_m3\attempt2\ladieswear_dress_dresses-ladies_red_solid_seed42.png,0.8636158208052317,0.6818925539652506,0.9506405353546142,0.8379443287849426,true,0.9153831601142883,0.8003455996513367,0.9530965089797974,0.9037286043167114,true,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,43,2,data\generated\final_concepts_m3\attempt2\ladieswear_dress_dresses-ladies_red_solid_seed43.png,0.8770070672035217,0.3834727505842845,0.9506405353546142,0.8379443287849426,true,0.8952259421348572,0.5362852811813354,0.9530965089797974,0.9037286043167114,true,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,44,2,data\generated\final_concepts_m3\attempt2\ladieswear_dress_dresses-ladies_red_solid_seed44.png,0.9138109485308329,0.7977315982182821,0.9506405353546142,0.8379443287849426,true,0.9419677257537842,0.9312646985054016,0.9530965089797974,0.9037286043167114,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,45,2,data\generated\final_concepts_m3\attempt2\ladieswear_dress_dresses-ladies_red_solid_seed45.png,0.848626842101415,0.6988650957743326,0.9506405353546142,0.8379443287849426,true,0.893373966217041,0.796964704990387,0.9530965089797974,0.9037286043167114,true,false
