origin_week,construction,method,n_styles,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape
2019-09-23,ratio,lightgbm,159,159,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.6511972748290107,0.48995700979221407,0.43245873190546286
2019-09-23,ratio,seasonal_naive,159,159,1.0,1.0,1.0,0.5,0.9566284167791799,0.7150853833293529,0.27904206805813503
2019-09-23,ratio,ewma_persistence,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,0.4041298312857807,-0.044948650585144495,0.4722280379193964
2019-09-23,ratio,parent_category_mean,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.4797928577948761,0.13558335323620732,0.49638677049169266
2019-09-23,ratio,global_mean,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,0.46636051326818884,0.15595294960592312,0.5081299536341926
2019-09-23,excess,lightgbm,159,159,0.0,0.0,0.0,0.0,0.21437949043293988,-0.5435723668497732,0.9330320306655261
2019-09-23,excess,ewma_persistence,159,159,0.0,0.0,0.0,0.0,0.15009043349880796,-0.7637180558872703,1.0485118830921782
2019-09-23,excess,parent_category_mean,159,159,0.0,0.0,0.0,0.0,0.22066595905169867,-0.5356609744447098,1.3250753900411325
2019-09-23,excess,global_mean,159,159,0.0,0.0,0.0,0.0,0.20815864031067924,-0.529603534750418,1.5094563496668636
2019-09-23,residual,lightgbm,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.6331454946087652,0.4799767136374493,1.0004860225999566
2019-09-23,residual,seasonal_naive,159,159,1.0,1.0,1.0,0.5,0.9461616239443819,0.7035974444709817,1.0119492697442602
2019-09-23,residual,ewma_persistence,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,0.3938525598311625,-0.16908884642942443,1.0052617885606339
2019-09-23,residual,parent_category_mean,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,0.41617947600124416,0.05003881060425125,1.0021282564199068
2019-09-23,residual,global_mean,159,159,0.0,0.0,0.0,0.1,0.412250682015044,0.057997969906854546,1.0012971998193405
2019-10-21,ratio,lightgbm,140,140,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.7479621216043569,0.30095121471212094,0.31752652165004325
2019-10-21,ratio,seasonal_naive,140,140,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.7532937363277513,0.5832717412695984,0.29599029986437186
2019-10-21,ratio,ewma_persistence,140,140,0.0,0.0,0.0,0.1,0.39495083834693157,-0.01838577770002843,0.4138144384778469
2019-10-21,ratio,parent_category_mean,140,140,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3,0.6257768947828979,0.09598303120421597,0.45256032131034907
2019-10-21,ratio,global_mean,140,140,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3,0.6257768947828979,0.12185169797292868,0.4839404977062931
2019-10-21,excess,lightgbm,140,140,0.0,0.0,0.0,0.0,0.25535342129867233,-0.43329032822374325,1.070515168727444
2019-10-21,excess,ewma_persistence,140,140,0.0,0.0,0.0,0.0,0.23860605642514085,-0.5795412302376944,1.0089858053918226
2019-10-21,excess,parent_category_mean,140,140,0.0,0.0,0.0,0.0,0.2766544428750417,-0.3525354792154119,1.403727427642076
2019-10-21,excess,global_mean,140,140,0.0,0.0,0.0,0.0,0.2780366183510199,-0.3380595219872735,1.6006985775810623
2019-10-21,residual,lightgbm,140,140,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3,0.7358829059829057,0.2491220397542149,0.9999999999999998
2019-10-21,residual,seasonal_naive,140,140,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.7710927507907896,0.562996654348254,1.0295257548942272
