name,style,colour_pass,colour_de,colour_threshold,mask_fallback,product_pass,product_retrieved,product_top1_style
red_dress_seed47_s0.35,Dress,true,3.44,4.5,false,true,Dress,Ladieswear || Dress || Blouses || Orange || Solid
red_dress_seed43_s0.45,Dress,true,1.67,4.5,false,true,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid
submitted_dress_seed44,Dress,true,1.8,4.5,false,true,Dress,Ladieswear || Dress || Dresses Ladies || Red || Solid
submitted_sweater_seed45,Sweater,true,2.75,3.44,false,true,Sweater,Divided || Sweater || Knitwear || Orange || Solid
