origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape
2019-11-18,ewma_persistence,true,false,3028,3028,0.0,0.2,0.8896972798923073,0.5901984648078896,0.16846538308684608
2019-11-18,parent_category_mean,true,false,3028,3028,0.0,0.0,0.24738698465379794,0.2215127750045369,0.23185886271584313
2019-11-18,global_mean,true,false,3028,3028,0.0,0.0,0.4282846928178366,NaN,0.29402925068235164
2019-12-16,seasonal_naive,true,true,3014,2848,0.0,0.1,0.6026344826326042,0.48195473669048183,0.2126264534269396
2019-12-16,ewma_persistence,true,true,3014,3014,0.0,0.1,0.8867210590434156,0.6486745442334078,0.19311878009655284
2019-12-16,parent_category_mean,true,true,3014,3014,0.0,0.0,0.5150981926724854,0.2640030115433522,0.24374663469006244
2019-12-16,global_mean,true,true,3014,3014,0.0,0.0,0.35559303843032253,NaN,0.3179723777305652
2020-01-13,seasonal_naive,true,true,3009,2860,0.0,0.0,0.6409617909186399,0.48761796225536524,0.20470683898195646
2020-01-13,ewma_persistence,true,true,3009,3009,0.0,0.1,0.811453570540269,0.6331657997821578,0.1832926664668289
2020-01-13,parent_category_mean,true,true,3009,3009,0.0,0.1,0.6327347837074252,0.28562141662535884,0.24019556935920952
2020-01-13,global_mean,true,true,3009,3009,0.0,0.0,0.3417297718786958,NaN,0.3000232728156991
2020-02-10,seasonal_naive,true,true,3007,2886,0.0,0.2,0.6791367978950354,0.5194045173468039,0.20486805431278002
2020-02-10,ewma_persistence,true,true,3007,3007,0.0,0.2,0.8469653045469209,0.5918599765883492,0.20204159032509886
2020-02-10,parent_category_mean,true,true,3007,3007,0.0,0.0,0.24167171923708752,0.27112018073550576,0.25347027475721334
2020-02-10,global_mean,true,true,3007,3007,0.0,0.0,0.24497718985672573,NaN,0.3145768570610612
2020-03-09,seasonal_naive,true,true,2991,2905,0.3333333333333333,0.4,0.8403230060244848,0.5621384182081334,0.19643857454302832
2020-03-09,ewma_persistence,true,true,2991,2991,0.0,0.2,0.8295333571402482,0.5677364264557592,0.20648994545983762
2020-03-09,parent_category_mean,true,true,2991,2991,0.0,0.0,0.15863662273979712,0.2647639484749746,0.25867187072223924
2020-03-09,global_mean,true,true,2991,2991,0.0,0.0,0.2606573854490878,NaN,0.31682583088922717
2020-04-06,seasonal_naive,true,true,2956,2890,0.3333333333333333,0.3,0.8906687028890045,0.6039089537498497,0.1752745220239519
2020-04-06,ewma_persistence,true,true,2956,2956,0.0,0.3,0.893409331438089,0.5993554825256845,0.1675219285619263
2020-04-06,parent_category_mean,true,true,2956,2956,0.0,0.0,0.16560811160085187,0.2757598617124712,0.22950910638528862
2020-04-06,global_mean,true,true,2956,2956,0.0,0.0,0.4648809542952974,NaN,0.3053547805632556
2020-05-04,seasonal_naive,true,true,2906,2847,0.0,0.2,0.8513487762365858,0.611779409322762,0.17244648971548934
2020-05-04,ewma_persistence,true,true,2906,2906,0.0,0.2,0.9176519169959728,0.6353931619372565,0.14285749546745555
2020-05-04,parent_category_mean,true,true,2906,2906,0.0,0.0,0.17263257623071612,0.2726476693576131,0.2112177558010824
2020-05-04,global_mean,true,true,2906,2906,0.0,0.0,0.3398230390482078,NaN,0.26704265261157484
2020-06-01,seasonal_naive,true,true,2763,2715,0.0,0.0,0.8366333811108309,0.5998920579505724,0.17222713096293557
2020-06-01,ewma_persistence,true,true,2763,2763,0.0,0.0,0.8489023765462038,0.6924613816028418,0.12434396892735344
2020-06-01,parent_category_mean,true,true,2763,2763,0.0,0.0,0.22140552143111045,0.2715977038822836,0.20075161230149774
2020-06-01,global_mean,true,true,2763,2763,0.0,0.0,0.3968823071977726,NaN,0.2571564736339495
