split,metric,shipped,embargoed,diff,ci_lo,ci_hi,n_origins
pooled,hit_at_3_in_top20,0.7222222222222222,0.5277777777777778,0.1944444444444445,0.11111111111111112,0.25,12
pooled,hit_at_3_in_top10,0.5,0.3055555555555555,0.19444444444444442,0.054861111111111145,0.3611111111111111,12
pooled,precision_at_3,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,12
pooled,precision_at_10,0.2583333333333333,0.19166666666666665,0.06666666666666667,0.024999999999999994,0.14166666666666666,12
pooled,ndcg_at_10,0.9000615196270797,0.872256644946305,0.027804874680775072,0.012756422522183739,0.05490924266009407,12
pooled,spearman_rho,0.803225533719818,0.7116101344258934,0.09161539929392448,0.036438494898322654,0.14852259531140832,12
pooled,wmape,0.13881693552888563,0.16958631286859085,-0.030769377339705178,-0.05259159567134788,-0.007415132525600097,12
covid,hit_at_3_in_top20,0.7619047619047619,0.5714285714285714,0.1904761904761905,0.09523809523809525,0.2857142857142857,7
covid,hit_at_3_in_top10,0.5238095238095238,0.42857142857142855,0.09523809523809525,0.0,0.1904761904761905,7
covid,precision_at_3,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,7
covid,precision_at_10,0.24285714285714285,0.22857142857142862,0.014285714285714278,0.014285714285714278,0.05714285714285713,7
covid,ndcg_at_10,0.9226433019988337,0.9097857864349789,0.012857515563854647,0.010065527043680736,0.020635262767977242,7
covid,spearman_rho,0.819388045068638,0.7845520632420083,0.03483598182662974,0.03306102080546373,0.04438402398097915,7
covid,wmape,0.12824860227228277,0.1371950955236318,-0.008946493251349035,-0.012651188715511685,-0.006392986858106944,7
non_covid,hit_at_3_in_top20,0.6666666666666666,0.4666666666666666,0.2,0.2,0.3333333333333333,5
non_covid,hit_at_3_in_top10,0.4666666666666667,0.13333333333333333,0.33333333333333337,0.2666666666666667,0.4,5
non_covid,precision_at_3,0.0,0.0,0.0,0.0,0.0,5
non_covid,precision_at_10,0.27999999999999997,0.13999999999999999,0.13999999999999999,0.08,0.18,5
non_covid,ndcg_at_10,0.8684470243066247,0.819715846862161,0.04873117744446367,0.03056713520368821,0.09358609825698523,5
non_covid,spearman_rho,0.7805980178314699,0.6094914340833328,0.17110658374813711,0.17110658374813711,0.21510177239659806,5
non_covid,wmape,0.1536126020881297,0.21493401715153349,-0.061321415063403786,-0.08144570504215175,-0.061321415063403786,5
