term,week_start,value
Baseball cap,2020-02-10,1959
Baseball cap,2020-02-17,1939
Baseball cap,2020-02-24,1885
Baseball cap,2020-03-02,1828
Baseball cap,2020-03-09,1848
Baseball cap,2020-03-16,1571
Baseball cap,2020-03-23,1771
Baseball cap,2020-03-30,1863
Baseball cap,2020-04-06,2089
Baseball cap,2020-04-13,2148
Baseball cap,2020-04-20,2305
Baseball cap,2020-04-27,2253
Baseball cap,2020-05-04,2071
Baseball cap,2020-05-11,2148
Baseball cap,2020-05-18,2355
Baseball cap,2020-05-25,2135
Baseball cap,2020-06-01,2119
Baseball cap,2020-06-08,2066
Baseball cap,2020-06-15,2110
Baseball cap,2020-06-22,1967
Baseball cap,2020-06-29,1910
Baseball cap,2020-07-06,1993
Baseball cap,2020-07-13,2086
Baseball cap,2020-07-20,3041
Baseball cap,2020-07-27,2255
Baseball cap,2020-08-03,2134
Baseball cap,2020-08-10,2199
Baseball cap,2020-08-17,2129
Baseball cap,2020-08-24,2017
Baseball cap,2020-08-31,2056
Baseball cap,2020-09-07,1950
Baseball cap,2020-09-14,1957
Baseball cap,2020-09-21,1722
Beige,2018-09-03,2856
Beige,2018-09-10,2648
Beige,2018-09-17,3097
Beige,2018-09-24,2726
Beige,2018-10-01,2616
Beige,2018-10-08,2769
Beige,2018-10-15,2728
Beige,2018-10-22,2712
Beige,2018-10-29,2492
Beige,2018-11-05,2520
Beige,2018-11-12,2847
Beige,2018-11-19,2523
Beige,2018-11-26,2655
Beige,2018-12-03,2726
Beige,2018-12-10,2667
Beige,2018-12-17,2342
Beige,2018-12-24,2320
Beige,2018-12-31,2375
Beige,2019-01-07,2630
Beige,2019-01-14,2720
Beige,2019-01-21,2681
Beige,2019-01-28,2795
Beige,2019-02-04,3394
Beige,2019-02-11,2546
Beige,2019-02-18,2851
Beige,2019-02-25,2896
Beige,2019-03-04,2796
Beige,2019-03-11,3004
Beige,2019-03-18,2878
Beige,2019-03-25,3211
Beige,2019-04-01,3067
Beige,2019-04-08,3057
Beige,2019-04-15,2893
Beige,2019-04-22,2904
Beige,2019-04-29,2992
Beige,2019-05-06,2820
Beige,2019-05-13,2722
Beige,2019-05-20,2746
Beige,2019-05-27,2700
Beige,2019-06-03,2698
Beige,2019-06-10,2580
Beige,2019-06-17,2639
Beige,2019-06-24,2562
Beige,2019-07-01,2975
Beige,2019-07-08,2503
Beige,2019-07-15,2517
Beige,2019-07-22,2641
Beige,2019-07-29,2538
Beige,2019-08-05,2438
Beige,2019-08-12,2499
Beige,2019-08-19,2656
Beige,2019-08-26,2675
Beige,2019-09-02,2567
Beige,2019-09-09,2806
Beige,2019-09-16,2868
Beige,2019-09-23,2831
Beige,2019-09-30,3125
Beige,2019-10-07,3098
Beige,2019-10-14,3060
Beige,2019-10-21,3006
Beige,2019-10-28,2741
Beige,2019-11-04,3027
Beige,2019-11-11,3176
Beige,2019-11-18,2953
Beige,2019-11-25,3105
Beige,2019-12-02,3018
