origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3
2019-07-29,ewma_persistence,false,false,3037,3037,0.0,0.0,0.0,0.0,0.6285749992922677,0.5891941686875278,0.25357799407376486,0.14454215537312945,0.20875651682412028,0.2552647348665001,0.0
2019-08-05,ewma_persistence,false,false,3039,3039,0.0,0.0,0.0,0.0,0.6081114788315178,0.5589029537987501,0.2693675602913401,0.12189029701892189,0.18071906156688022,0.23758491898138642,0.0
2019-08-12,ewma_persistence,false,false,3041,3041,0.0,0.0,0.0,0.0,0.5857328622819167,0.5319964411826291,0.2854909907209911,0.12984173512630137,0.17579211463341712,0.22697703043875525,0.0
2019-08-19,ewma_persistence,false,false,3042,3042,0.0,0.0,0.0,0.1,0.6280162430964022,0.5069384072733224,0.2970362461148018,0.11232293475270166,0.29693774529687667,0.23977368265357213,0.0
2019-08-26,ewma_persistence,false,false,3043,3043,0.0,0.0,0.0,0.1,0.6134594166847389,0.47936630227093135,0.2925017748306155,0.10467571167252529,0.27304451909651817,0.21319534670776166,0.0
2019-09-02,ewma_persistence,false,false,3043,3043,0.0,0.0,0.0,0.1,0.6321619911481834,0.477323383586494,0.2741166533609014,0.10247300177932808,0.29865459011747675,0.25404744611422647,0.0
2019-09-09,ewma_persistence,false,false,3043,3043,0.0,0.0,0.0,0.1,0.6631238757464301,0.47679042744625477,0.26408760857935276,0.2661055048838864,0.3038947433723732,0.275723672355672,0.0
2019-09-16,ewma_persistence,true,false,3044,3044,0.0,0.0,0.0,0.1,0.6784773949976974,0.4760309195269925,0.24909876792105598,0.32098843777793795,0.2755812977667614,0.27534613258853596,0.0
2019-09-23,ewma_persistence,true,false,3042,3042,0.0,0.0,0.0,0.1,0.7066344683006169,0.4900157681110474,0.24337276756653656,0.28683117043374534,0.2985508883004562,0.31361916862255346,0.0
2019-09-30,ewma_persistence,true,false,3044,3044,0.0,0.0,0.0,0.0,0.7122371717147292,0.499690443094251,0.24292471545412614,0.2744981946367622,0.3251811816398889,0.3460389982918125,0.0
2019-10-07,ewma_persistence,true,false,3044,3044,0.3333333333333333,0.3333333333333333,0.0,0.1,0.7358820447696175,0.5122026750036688,0.22811973424332102,0.43828300313677526,0.3378637065893899,0.3593555517099165,0.0
2019-10-14,ewma_persistence,true,false,3042,3042,0.3333333333333333,0.3333333333333333,0.0,0.1,0.7890842124250529,0.5255866078343345,0.21704016262454057,0.44071598302807874,0.4217849918627681,0.4040782333438373,0.0
2019-10-21,ewma_persistence,true,false,3042,3042,0.3333333333333333,0.3333333333333333,0.0,0.1,0.7806036000553188,0.5427847931245003,0.2031724831750327,0.4507265889804985,0.37648029525162097,0.4285005438619885,0.0
2019-10-28,ewma_persistence,true,false,3039,3039,0.3333333333333333,0.3333333333333333,0.0,0.1,0.8275132427173262,0.5572292744744595,0.1967119572567459,0.46205359701433313,0.4456004399584156,0.5042838091506878,0.0
2019-11-04,ewma_persistence,true,false,3038,3038,0.3333333333333333,0.3333333333333333,0.0,0.1,0.8402088991520096,0.5703317139410405,0.18706810738627289,0.48798220241040574,0.4665874916800927,0.4987093920873749,0.0
2019-11-11,ewma_persistence,true,false,3034,3034,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8795141771067703,0.5809839326882095,0.17773601325177252,0.5112677914049379,0.6012749283982968,0.5149946525928332,0.0
2019-11-18,ewma_persistence,true,false,3028,3028,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8896972798923073,0.5901984648078896,0.16846538308684608,0.5475504610052934,0.6291158926174758,0.5533674212828672,0.0
2019-11-25,ewma_persistence,true,false,3023,3023,0.6666666666666666,0.6666666666666666,0.0,0.3,0.9034096031291905,0.613835251142223,0.19303253705996049,0.7695996333187695,0.6569931730297299,0.6177245726429503,0.0
2019-12-02,ewma_persistence,true,true,3020,3020,0.6666666666666666,0.6666666666666666,0.0,0.3,0.907848458630175,0.6275955323234564,0.1687012917893004,0.8229884224210989,0.6611702257851946,0.6209396821968126,0.0
2019-12-09,ewma_persistence,true,true,3016,3016,0.6666666666666666,0.3333333333333333,0.0,0.2,0.9080214111617549,0.6374120507339627,0.16704223495501125,0.8104528054322891,0.6490545021743043,0.6324304850783782,0.3333333333333333
2019-12-16,ewma_persistence,true,true,3014,3014,0.6666666666666666,0.0,0.0,0.1,0.8867210590434156,0.6486745442334078,0.19311878009655284,0.7296161049975597,0.5936389384886172,0.5792074448641197,0.0
2019-12-23,ewma_persistence,true,true,3013,3013,0.3333333333333333,0.0,0.0,0.1,0.8413605986044816,0.6500863227485069,0.1979812739764165,0.5332169286134111,0.5068168295503751,0.5150460475071948,0.0
2019-12-30,ewma_persistence,true,true,3012,3012,0.0,0.0,0.0,0.1,0.8269091521710996,0.6504276476025308,0.19304669322263018,0.4830802281346118,0.493522952988162,0.4899816034265128,0.0
2020-01-06,ewma_persistence,true,true,3010,3010,0.0,0.0,0.0,0.1,0.8240703966257396,0.6425462906666346,0.18236814533813617,0.4642624630954884,0.504217044837423,0.4765327712910797,0.0
2020-01-13,ewma_persistence,true,true,3009,3009,0.0,0.0,0.0,0.1,0.811453570540269,0.6331657997821578,0.18329266646682893,0.44379015460127375,0.4887670809240479,0.5261032358480684,0.0
