method_a,method_b,split,metric,n_origins,directional_only,mean_diff,diff_ci_low,diff_ci_high
lightgbm,parent_category_mean,covid,spearman_rho,7,true,0.2917865640934079,0.25607643950784004,0.4161532542887252
lightgbm,parent_category_mean,covid,wmape,7,true,-0.16520446781108306,-0.1826042909423822,-0.15208103571617362
lightgbm,parent_category_mean,non_covid,hit_at_3_in_top20,3,true,0.3333333333333333,0.3333333333333333,0.3333333333333333
lightgbm,parent_category_mean,non_covid,hit_at_3_in_top10,3,true,0.3333333333333333,0.3333333333333333,0.3333333333333333
lightgbm,parent_category_mean,non_covid,precision_at_3,3,true,0.1111111111111111,0.1111111111111111,0.1111111111111111
lightgbm,parent_category_mean,non_covid,precision_at_10,3,true,0.16666666666666666,0.16666666666666666,0.16666666666666666
lightgbm,parent_category_mean,non_covid,ndcg_at_10,3,true,0.15309422813942944,0.15309422813942944,0.15309422813942944
lightgbm,parent_category_mean,non_covid,spearman_rho,3,true,0.21963137307191308,0.21963137307191308,0.21963137307191308
lightgbm,parent_category_mean,non_covid,wmape,3,true,-0.2374532306256479,-0.2374532306256479,-0.2374532306256479
lightgbm,global_mean,pooled,hit_at_3_in_top20,10,false,0.4666666666666667,0.3,0.7
lightgbm,global_mean,pooled,hit_at_3_in_top10,10,false,0.39999999999999997,0.33333333333333337,0.5666666666666667
lightgbm,global_mean,pooled,precision_at_3,10,false,0.1,0.0,0.2666666666666667
lightgbm,global_mean,pooled,precision_at_10,10,false,0.35,0.3,0.42000000000000004
lightgbm,global_mean,pooled,ndcg_at_10,10,false,0.3148741430078353,0.2246211761112514,0.45104291020451315
lightgbm,global_mean,pooled,spearman_rho,10,false,0.34149008815084836,0.21299970168702834,0.5223206190501
lightgbm,global_mean,pooled,wmape,10,false,-0.41252665527162896,-0.48156141982765216,-0.3510554406748311
lightgbm,global_mean,covid,hit_at_3_in_top20,7,true,0.5714285714285714,0.5714285714285714,0.7619047619047619
lightgbm,global_mean,covid,hit_at_3_in_top10,7,true,0.42857142857142855,0.3333333333333333,0.5714285714285714
lightgbm,global_mean,covid,precision_at_3,7,true,0.09523809523809523,0.0,0.19047619047619047
lightgbm,global_mean,covid,precision_at_10,7,true,0.3999999999999999,0.35714285714285715,0.42857142857142855
lightgbm,global_mean,covid,ndcg_at_10,7,true,0.4064935895496786,0.3548609844124627,0.47208758997838424
lightgbm,global_mean,covid,spearman_rho,7,true,0.41049779112950874,0.41049779112950874,0.5605836599807014
lightgbm,global_mean,covid,wmape,7,true,-0.38193744340113545,-0.4071866864293389,-0.3464689848084085
lightgbm,global_mean,non_covid,hit_at_3_in_top20,3,true,0.2222222222222222,0.2222222222222222,0.2222222222222222
lightgbm,global_mean,non_covid,hit_at_3_in_top10,3,true,0.3333333333333333,0.3333333333333333,0.3333333333333333
lightgbm,global_mean,non_covid,precision_at_3,3,true,0.1111111111111111,0.1111111111111111,0.1111111111111111
lightgbm,global_mean,non_covid,precision_at_10,3,true,0.2333333333333333,0.2333333333333333,0.2333333333333333
lightgbm,global_mean,non_covid,ndcg_at_10,3,true,0.10109543441020086,0.10109543441020086,0.10109543441020086
lightgbm,global_mean,non_covid,spearman_rho,3,true,0.1804721145339743,0.1804721145339743,0.1804721145339743
lightgbm,global_mean,non_covid,wmape,3,true,-0.483901482969447,-0.483901482969447,-0.483901482969447
lightgbm,random_floor,pooled,hit_at_3_in_top20,10,false,0.44499999999999995,0.3533333333333333,0.6183333333333333
lightgbm,random_floor,pooled,hit_at_3_in_top10,10,false,0.3916666666666666,0.3266666666666666,0.5733333333333331
lightgbm,random_floor,pooled,precision_at_3,10,false,0.09,0.0,0.24166666666666664
lightgbm,random_floor,pooled,precision_at_10,10,false,0.323,0.2645,0.4135
lightgbm,random_floor,pooled,ndcg_at_10,10,false,0.31887181985213503,0.24818275262339204,0.43408451009127386
lightgbm,random_floor,pooled,spearman_rho,10,false,0.5982034526604852,0.4695333804758038,0.7530363392650357
lightgbm,random_floor,pooled,wmape,10,false,-0.23850223894072148,-0.32997780058174986,-0.19062205823546408
lightgbm,random_floor,covid,hit_at_3_in_top20,7,true,0.5285714285714285,0.49285714285714277,0.6714285714285715
lightgbm,random_floor,covid,hit_at_3_in_top10,7,true,0.43333333333333324,0.3095238095238095,0.5642857142857143
lightgbm,random_floor,covid,precision_at_3,7,true,0.0880952380952381,0.0,0.1761904761904762
lightgbm,random_floor,covid,precision_at_10,7,true,0.38357142857142856,0.3228571428571429,0.4307142857142857
lightgbm,random_floor,covid,ndcg_at_10,7,true,0.38521658526883423,0.3209458127182921,0.44882176099797116
lightgbm,random_floor,covid,spearman_rho,7,true,0.6830280571115523,0.6830280571115522,0.777288061331878
lightgbm,random_floor,covid,wmape,7,true,-0.26779694171058227,-0.35832512395137855,-0.22873386449614483
lightgbm,random_floor,non_covid,hit_at_3_in_top20,3,true,0.25,0.25,0.25
lightgbm,random_floor,non_covid,hit_at_3_in_top10,3,true,0.29444444444444445,0.29444444444444445,0.29444444444444445
lightgbm,random_floor,non_covid,precision_at_3,3,true,0.09444444444444444,0.09444444444444444,0.09444444444444444
lightgbm,random_floor,non_covid,precision_at_10,3,true,0.18166666666666664,0.18166666666666664,0.18166666666666664
lightgbm,random_floor,non_covid,ndcg_at_10,3,true,0.16406736721317022,0.16406736721317022,0.16406736721317022
lightgbm,random_floor,non_covid,spearman_rho,3,true,0.40027937560799526,0.40027937560799526,0.40027937560799526
lightgbm,random_floor,non_covid,wmape,3,true,-0.17014793247771284,-0.17014793247771284,-0.17014793247771284
