origin_week,n_eval_set,log1p_3,log1p_4,gap_log1p_pct,intensity_3,intensity_4,gap_intensity_frac
2019-07-29,3037,4.732141647698881,4.700713438861878,0.6641434508260239,112.53846153846149,109.02564102564098,0.031214399635452264
2019-08-05,3039,4.780415482955332,4.722839255036567,1.204418907186081,118.1538461538462,111.48717948717947,0.05642361111111161
2019-08-12,3041,4.695456110320714,4.650006091998429,0.9679574732342946,108.44871794871793,103.5856227106227,0.04484234880853857
2019-08-19,3042,4.6917006781403705,4.685922700860482,0.1231531522632953,108.03846153846155,107.41025641025645,0.005814643408092734
2019-08-26,3043,4.848417978233703,4.847210977483669,0.024894733817367246,126.53846153846152,126.38461538461544,0.0012158054711239982
2019-09-02,3043,4.839938218154589,4.825849164274139,0.2910998703992066,125.46153846153848,123.69230769230765,0.01410177805027639
2019-09-09,3043,4.878129016886978,4.834754489516902,0.8891631857198472,130.3846153846154,124.8076923076923,0.04277286135693218
2019-09-16,3044,4.830465267254752,4.795472631113059,0.7244154383823985,124.26923076923083,119.96153846153847,0.03466419065304902
2019-09-23,3042,4.787946970855353,4.728408400532513,1.2435093931753378,119.05463980463978,112.1153846153846,0.05828630619219884
2019-09-30,3044,4.807482889260611,4.753258571139804,1.1279149477981232,121.42307692307698,114.96153846153845,0.053215077605322
2019-10-07,3044,4.809993088256761,4.786850511596239,0.48113534127570506,121.73076923076923,118.92307692307688,0.023064770932069854
2019-10-14,3042,4.84236835300788,4.7961083590429245,0.9553175345741908,125.76923076923077,120.0384615384615,0.04556574923547431
2019-10-21,3042,4.809993088256761,4.795790545596741,0.295271581464317,121.73076923076923,120.00000000000003,0.014218009478672716
2019-10-28,3039,4.819129320632174,4.777614058862675,0.861468099470984,122.85720390720391,117.82051282051286,0.040996302426802314
2019-11-04,3038,4.8071716638980195,4.750934147048248,1.1698670399502573,121.38498168498164,114.69230769230768,0.05513593114873791
2019-11-11,3034,4.742208243582789,4.702110737645349,0.8455450262375354,113.6871794871795,109.17948717948717,0.03964996165817158
2019-11-18,3028,4.665255123308563,4.643527607480185,0.4657304960627455,105.19267399267395,102.91025641025644,0.021697495612446032
2019-11-25,3023,4.496111746759587,4.455092397249159,0.9123294041788537,88.66780147956618,85.06410256410253,0.040642700679729145
2019-12-02,3020,4.473554688059709,4.465465934256488,0.18081267285745192,86.6678014795662,85.9615384615385,0.008149081965511899
2019-12-09,3016,4.440594988824949,4.421771125818895,0.4239040726169587,83.82539682539682,82.24358974358978,0.018870260585844286
2019-12-16,3014,4.465908118654584,4.462036938328471,0.08668293711512118,86.0,85.66385836385834,0.003908623676065833
2019-12-23,3013,4.511282071492502,4.509590739165426,0.03749116770516264,90.03846153846156,89.8846153846154,0.0017086715079026782
2019-12-30,3012,4.5906265994361295,4.550226512369574,0.8800560488086334,97.55616605616602,93.65384615384615,0.04000075095277106
2020-01-06,3010,4.655916278808425,4.642416564837655,0.2899475240182998,104.20557348634274,102.79487179487177,0.013537679840664795
2020-01-13,3009,4.691430212408494,4.651096691708459,0.8597276070174794,108.0089743589744,103.6997459805152,0.03989694749009664
2020-01-20,3007,4.790159122331017,4.75449605831516,0.7445068755566198,119.3205128205128,115.1051282051282,0.03532824755560325
2020-01-27,3008,4.7795471625982255,4.741917555656589,0.7873048567467313,118.05042735042738,113.65384615384612,0.03724324676547094
2020-02-03,3007,4.798013121523579,4.788104090871216,0.2065236255380699,120.26923076923077,119.07350427350428,0.009942081512276537
2020-02-10,3007,4.851429121731391,4.806337261729668,0.9294551949597483,126.92307692307689,121.28290598290596,0.04443771043771039
2020-02-17,3005,4.897552732344519,4.868526725903271,0.5926634796508522,132.96153846153848,129.12905982905986,0.028823964259312773
2020-02-24,3001,4.941092821056586,4.890592804442014,1.0220414479842284,138.92307692307693,132.03241288625907,0.04960057169359483
2020-03-02,2999,4.975672171195615,4.91661103927264,1.1869980555568542,143.84615384615378,135.53910256410262,0.05774955436720062
2020-03-09,2991,4.952843195357539,4.9435956420388125,0.1867120147755578,140.576923076923,139.27371794871797,0.009270405836752656
2020-03-16,2984,4.984427324530528,4.926696116143596,1.1582315204559572,145.1198717948718,136.92307692307688,0.05648292525630932
2020-03-23,2969,5.026689493712841,4.955883079219138,1.4086092761899085,151.4275641025641,141.00795529257067,0.06880919515377056
2020-03-30,2962,4.968210936230363,4.913683816312899,1.097520226442645,142.7694444444444,135.1400065746219,0.05343887061766435
2020-04-06,2956,4.787972396480317,4.766289764069145,0.4528562534552358,119.05769230769232,116.48254437869817,0.021629412422499772
2020-04-13,2941,4.734284787654025,4.726654991086081,0.16116049013023964,112.78205128205134,111.91722081337467,0.007668156934952869
2020-04-20,2934,4.665776708093216,4.655276420787755,0.22504907462133558,105.24807692307694,104.13827838827842,0.010544596796857743
2020-04-27,2917,4.630469811988908,4.621239104551641,0.199347103254341,101.56223776223773,100.61987179487183,0.009278704251988101
2020-05-04,2906,4.60555472742717,4.571569208056904,0.7379245580966299,99.03846153846156,95.69572649572649,0.033751887810140525
2020-05-11,2879,4.575318776838757,4.531358028065191,0.9608237353013468,96.0589743589744,91.88461538461539,0.04345621012732597
2020-05-18,2855,4.495956101014275,4.4573417152805455,0.8588692786617298,88.65384615384613,85.257905982906,0.038305615811038425
2020-05-25,2808,4.46899794675836,4.4254299102045564,0.9748949780880015,86.26923076923076,82.54871794871795,0.04312676474959119
2020-06-01,2763,4.498255757079479,4.43629626460794,1.377411508316872,88.8602564102564,83.4615384615385,0.06075514709064887
2020-06-08,2690,4.603450759903975,4.44626462988883,3.4145283226277736,98.8282051282051,84.30769230769229,0.14692680901849872
2020-06-15,2547,4.592007007154099,4.571533851128711,0.4458433097661231,97.69230769230765,95.69230769230774,0.020472440944881026
2020-06-22,1978,4.640685818948827,4.445964013623227,4.19597044321581,102.61538461538463,84.28205128205133,0.17866066966516708
