origin_week,is_covid,cal_first,cal_last,Q_sym,Q_lo,Q_hi,n,cov_uncalibrated,cov_cqr_symmetric,cov_cqr_asymmetric,wlog_uncalibrated,wlog_cqr_symmetric,wlog_cqr_asymmetric,wraw_uncalibrated,wraw_cqr_symmetric,wraw_cqr_asymmetric
2019-07-29,false,2019-04-08,2019-04-29,0.2928809282412468,0.26666743901913237,0.3235494748279293,3037,0.42212709911096474,0.6486664471517946,0.6493249917681923,1.1533293659387671,1.739091222421261,1.7435462797858288,11.3013268239116,18.360486770886776,18.947878081275157
2019-08-05,false,2019-04-15,2019-05-06,0.2741240924796431,0.24868100532712378,0.30581878428187936,3039,0.4185587364264561,0.6410003290556104,0.6390259953932215,1.1551453285753535,1.7033935135346396,1.7096451181843566,11.309104723258958,18.06876803352879,18.692727855721856
2019-08-12,false,2019-04-22,2019-05-13,0.2522531294702667,0.23325980158405535,0.27754484229469645,3041,0.39756658993752053,0.6122985859914502,0.6083525156198619,1.1387925004011568,1.64329875934169,1.6495971442799087,11.292075885464536,17.428787300868755,17.916931544150653
2019-08-19,false,2019-04-29,2019-05-20,0.24675240070707583,0.23122455146594922,0.2661447762796496,3042,0.41222879684418146,0.6150558842866535,0.6153846153846154,1.1821889749776007,1.675693776391752,1.6795583027231993,11.218813137791734,16.964240812535202,17.312836429193442
2019-08-26,false,2019-05-06,2019-05-27,0.22365323244989221,0.20101218557942957,0.24595835861627924,3043,0.39533355241537954,0.5829773250082155,0.5833059480775551,1.191562876917794,1.6388693418175786,1.638533421113503,10.672637728102604,15.953859974983612,16.311598761994848
2019-09-02,false,2019-05-13,2019-06-03,0.19929975600546568,0.18002003876068018,0.21959982302698222,3043,0.41899441340782123,0.6033519553072626,0.6026947091685836,1.1909734271061598,1.5895729391170912,1.5905932888938223,10.898048162319594,15.758847583257307,16.08534560556585
2019-09-09,false,2019-05-20,2019-06-10,0.18145957038698302,0.15704886614966274,0.2074083074728188,3043,0.4377259283601709,0.6056523167926389,0.6079526782780151,1.218980274277102,1.5818994150510681,1.5834374478995836,10.9481399600278,15.266805138950376,15.67791219279137
2019-09-16,false,2019-05-27,2019-06-17,0.16846417329318353,0.17080470484293686,0.16684153926464695,3044,0.4520367936925099,0.6041392904073587,0.6041392904073587,1.2207985130192156,1.5577268596055827,1.5584447571267994,11.170869540096607,15.093920204093402,15.072502718520253
2019-09-23,false,2019-06-03,2019-06-24,0.18611776722865359,0.21249680301900997,0.15037146880382402,3042,0.4822485207100592,0.6597633136094675,0.6673241288625904,1.200013760663283,1.5722492951205902,1.562882032486117,12.584812394039556,17.281873826146622,16.612340115816764
2019-09-30,false,2019-06-10,2019-07-01,0.22092527019320163,0.25618284714112965,0.1647123981451566,3044,0.4802890932982917,0.6839684625492772,0.6862680683311432,1.2017885628697829,1.6436391032561861,1.622683808156069,12.101703794895432,17.897912712686047,16.814777959099388
2019-10-07,false,2019-06-17,2019-07-08,0.25430329449084055,0.296950833820921,0.1895367380153392,3044,0.4996714848883049,0.7467148488830486,0.7454007884362681,1.2415916548234274,1.7501982438051087,1.7280792266596878,12.054117926367592,18.458182190016586,17.192717153687617
2019-10-14,false,2019-06-24,2019-07-15,0.29040563351096427,0.3254183415856762,0.24548962830583543,3042,0.5312294543063774,0.782051282051282,0.7853385930309007,1.2766227712194236,1.8574340382413521,1.847530741110935,12.030565109195706,19.42591716934264,18.532082406842783
2019-10-21,false,2019-07-01,2019-07-22,0.35158098480579847,0.39427187530707397,0.2944078845840383,3042,0.636094674556213,0.8957922419460881,0.893491124260355,1.3728538488648399,2.076015818476437,2.061533608755952,12.706909967934013,21.602307298179632,20.344274760968126
2019-10-28,false,2019-07-08,2019-07-29,0.4182187906894279,0.4880071817830123,0.33461173701735625,3039,0.6479104968739717,0.9272787101020072,0.930898321816387,1.3549707476372503,2.191408329016106,2.177589666437619,12.980525781686227,24.049296549771974,22.099071791823803
2019-11-04,false,2019-07-15,2019-08-05,0.476384871614949,0.5774259300140621,0.36017407779318633,3038,0.6639236339697169,0.9483212639894667,0.9433838051349572,1.3926410155751876,2.345410758805085,2.3302410233824356,12.592973191956801,24.947049740399372,22.19165320665304
2019-11-11,false,2019-07-22,2019-08-12,0.5398231659296173,0.6688050595450938,0.36684680274572723,3034,0.6793012524719841,0.9653922214897824,0.956493078444298,1.398241392763012,2.4778877246222466,2.433893255053833,12.733584589152866,27.074496513355793,22.684410099293565
2019-11-18,false,2019-07-29,2019-08-19,0.5559863063337915,0.6920331647687281,0.3745353768471924,3028,0.760898282694848,0.9775429326287979,0.9682959048877147,1.5116388779434673,2.623611490611051,2.578207419559388,13.352878284790336,27.988651714813138,23.27374867377899
2019-11-25,false,2019-08-05,2019-08-26,0.5672238184790643,0.6944199945029776,0.3930525527313733,3023,0.7165067813430367,0.9844525305987429,0.9841217333774396,1.391496443526998,2.525944080485127,2.478968990761349,14.39245568862553,30.698617817819176,25.681736918293918
