method,metric,n_origins,mean,ci_lo,ci_hi
ewma_persistence,hit_at_3_in_top20,48,0.2708333333333333,0.20833333333333334,0.4236111111111111
ewma_persistence,hit_at_3_in_top10,48,0.18055555555555555,0.15277777777777776,0.2916666666666667
ewma_persistence,precision_at_3,48,0.006944444444444444,0.0,0.020833333333333332
ewma_persistence,precision_at_10,48,0.13333333333333333,0.11458333333333333,0.19375
ewma_persistence,ndcg_at_10,48,0.8073680057852934,0.7596471130910342,0.8663653626693957
ewma_persistence,spearman_rho,48,0.5939593956343566,0.5426346664703091,0.6225776316742465
ewma_persistence,wmape,48,0.19549414049311223,0.17224181391710544,0.22393639222407521
ewma_persistence,demand_capture_at_3,48,0.4590950509359017,0.3847009411078975,0.5845397079244876
ewma_persistence,demand_capture_at_10,48,0.4916209741708954,0.4110643602306248,0.5862794713726265
ewma_persistence,demand_capture_at_20,48,0.5001079781938317,0.4076245662603446,0.5947358400860141
ewma_persistence,tolerance_hit_at_3,48,0.0625,0.020833333333333332,0.13888888888888887
global_mean,hit_at_3_in_top20,48,0.0,0.0,0.0
global_mean,hit_at_3_in_top10,48,0.0,0.0,0.0
global_mean,precision_at_3,48,0.0,0.0,0.0
global_mean,precision_at_10,48,0.0,0.0,0.0
global_mean,ndcg_at_10,48,0.20352167495977283,0.18205987867847376,0.21873046875074756
global_mean,spearman_rho,0,,,
global_mean,wmape,48,0.30564913819564343,0.2943928834204174,0.3239239009124733
global_mean,demand_capture_at_3,48,0.010827090203280376,0.008465668473630894,0.012190004280285036
global_mean,demand_capture_at_10,48,0.018675940571714653,0.014744764427001096,0.02179397750668878
global_mean,demand_capture_at_20,48,0.019432619633554464,0.01684509375044391,0.02115407758092972
global_mean,tolerance_hit_at_3,48,0.0,0.0,0.0
lightgbm,hit_at_3_in_top20,48,0.4305555555555555,0.40972222222222215,0.6180555555555555
lightgbm,hit_at_3_in_top10,48,0.27777777777777773,0.20833333333333334,0.4930555555555555
lightgbm,precision_at_3,48,0.048611111111111105,0.013888888888888888,0.10416666666666667
lightgbm,precision_at_10,48,0.16874999999999998,0.1395833333333333,0.2604166666666667
lightgbm,ndcg_at_10,48,0.8692191151395345,0.8523316900030024,0.907380110513534
lightgbm,spearman_rho,48,0.7101629137250752,0.6402660173600438,0.7792911394324084
lightgbm,wmape,48,0.16554000697433566,0.13402536978625576,0.19471865869981045
lightgbm,demand_capture_at_3,48,0.5689829764862392,0.5136548098722866,0.6836973670009933
lightgbm,demand_capture_at_10,48,0.5975554680159973,0.5618336978384483,0.6834403367676439
lightgbm,demand_capture_at_20,48,0.6137307408743232,0.5633721881832624,0.6992159669397149
lightgbm,tolerance_hit_at_3,48,0.13194444444444442,0.020833333333333332,0.2986111111111111
parent_category_mean,hit_at_3_in_top20,48,0.03472222222222222,0.0,0.10416666666666667
parent_category_mean,hit_at_3_in_top10,48,0.020833333333333332,0.0,0.0625
parent_category_mean,precision_at_3,48,0.0,0.0,0.0
parent_category_mean,precision_at_10,48,0.016666666666666666,0.0,0.05000000000000001
