method,split,n_origins,hit_at_3_in_top20_mean,hit_at_3_in_top20_ci_low,hit_at_3_in_top20_ci_high,hit_at_3_in_top10_mean,hit_at_3_in_top10_ci_low,hit_at_3_in_top10_ci_high,precision_at_3_mean,precision_at_3_ci_low,precision_at_3_ci_high,precision_at_10_mean,precision_at_10_ci_low,precision_at_10_ci_high,ndcg_at_10_mean,ndcg_at_10_ci_low,ndcg_at_10_ci_high,spearman_rho_mean,spearman_rho_ci_low,spearman_rho_ci_high,wmape_mean,wmape_ci_low,wmape_ci_high
ewma_persistence,pooled,10,0.6333333333333333,0.4666666666666666,0.9666666666666666,0.4999999999999999,0.4,0.7333333333333333,0.2333333333333333,0.13333333333333333,0.4,0.4,0.3,0.6100000000000001,0.7062770695522052,0.6181702512890228,0.8689874544829579,0.4356199789483221,0.3187344640161113,0.6770981023215198,0.2883157782107745,0.27153338389603,0.31757881896171253
ewma_persistence,covid,7,0.8095238095238095,0.6666666666666666,1.0,0.619047619047619,0.5238095238095238,0.7619047619047619,0.23809523809523808,0.09523809523809523,0.42857142857142855,0.5142857142857143,0.5142857142857142,0.6285714285714287,0.8125225319907232,0.7854847956988031,0.8738012332250429,0.5615162571924601,0.42785202152477764,0.6980639902814707,0.2699937073436853,0.2699937073436853,0.29678068734750046
ewma_persistence,non_covid,3,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4583709905289965,0.4583709905289965,0.4583709905289965,0.14186199637866684,0.14186199637866684,0.14186199637866684,0.33106727690064935,0.33106727690064935,0.33106727690064935
global_mean,pooled,10,0.7333333333333333,0.6333333333333333,0.9666666666666666,0.6333333333333333,0.5999999999999999,0.8,0.36666666666666664,0.2666666666666667,0.5333333333333334,0.36,0.31,0.45,0.710971053169599,0.6618830353899174,0.7888902958117588,0.41737223715270044,0.30749783194279423,0.5439618131878607,0.5142230595067001,0.4790690605357938,0.5485418382990367
global_mean,covid,7,0.7619047619047619,0.619047619047619,0.9523809523809523,0.6666666666666666,0.5714285714285714,0.7619047619047619,0.38095238095238093,0.23809523809523808,0.5238095238095238,0.4142857142857142,0.38571428571428573,0.45714285714285713,0.760845668516325,0.7275469765336803,0.7961008253808114,0.49580531915633214,0.47889153667220546,0.5596341231735779,0.5304375668669329,0.5160605323204821,0.5538237890272956
global_mean,non_covid,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2333333333333333,0.2333333333333333,0.2333333333333333,0.594596950693905,0.594596950693905,0.594596950693905,0.23436171247755988,0.23436171247755988,0.23436171247755988,0.4763892089994901,0.4763892089994901,0.4763892089994901
lightgbm,pooled,10,0.7666666666666667,0.7333333333333334,0.8666666666666666,0.6333333333333333,0.5666666666666667,0.7,0.3,0.19999999999999998,0.4333333333333333,0.47000000000000003,0.39,0.5604999999999973,0.780193534199654,0.7420739907039697,0.818609777199111,0.6113007948021958,0.5074122483707824,0.736712511427131,0.2898631079277795,0.2598856339590735,0.33490853503426754
lightgbm,covid,7,0.8095238095238095,0.7619047619047619,0.8571428571428571,0.6666666666666667,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.380952380952381,0.5285714285714286,0.5,0.6142857142857142,0.8201314204959377,0.7916179861031015,0.8201314204959376,0.6806573767155911,0.6806573767155911,0.7640376416355584,0.28669049066439845,0.2528237274306985,0.3143095156436209
lightgbm,non_covid,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.687005132841659,0.687005132841659,0.687005132841659,0.44946877033760657,0.44946877033760657,0.44946877033760657,0.2972658815423351,0.2972658815423351,0.2972658815423351
parent_category_mean,pooled,10,0.7666666666666667,0.7,0.9333333333333332,0.6,0.5,0.8,0.33333333333333337,0.19999999999999998,0.5333333333333334,0.37,0.33999999999999997,0.4699999999999999,0.7144274814549221,0.6750280869600137,0.7951962165388592,0.4067922999563415,0.2949659505793376,0.5321791737698375,0.4235198966744772,0.3991687898257883,0.4440548401587832
parent_category_mean,covid,7,0.8095238095238095,0.7619047619047619,0.9047619047619048,0.619047619047619,0.47619047619047616,0.7619047619047619,0.3333333333333333,0.14285714285714285,0.5238095238095238,0.41428571428571426,0.3714285714285714,0.4714285714285715,0.7637541959163837,0.7133919331740447,0.8008879084472749,0.4918316308876021,0.47776164143229355,0.5455352428770508,0.42469934909419366,0.41402776562861066,0.44902428979404946
parent_category_mean,non_covid,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.5993318143781787,0.5993318143781787,0.5993318143781787,0.2083671944500666,0.2083671944500666,0.2083671944500666,0.42076784102847214,0.42076784102847214,0.42076784102847214
random_floor,pooled,10,0.17666666666666664,0.16999999999999998,0.205,0.1,0.095,0.12666666666666665,0.023333333333333334,0.018333333333333333,0.03,0.08249999999999999,0.074,0.10350000000000001,0.4021523662307092,0.35515334626955897,0.42290555582578315,-0.0030910911653667895,-0.01019857787888118,0.0016512556230741462,0.508950921189468,0.46761156979464424,0.6297192043705089
random_floor,covid,7,0.1761904761904762,0.17380952380952383,0.20238095238095238,0.10238095238095238,0.09523809523809523,0.12142857142857143,0.02142857142857143,0.016666666666666666,0.02857142857142857,0.08928571428571429,0.07714285714285715,0.10571428571428572,0.4008833303167707,0.34535519928437963,0.4345084090609111,-0.0015459537699034143,-0.010342120243061997,0.0032653479100939347,0.5362056614438858,0.460067849538096,0.6528109079961567
random_floor,non_covid,3,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.09444444444444444,0.09444444444444444,0.09444444444444444,0.02777777777777778,0.02777777777777778,0.02777777777777778,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.4051134500298992,0.4051134500298992,0.4051134500298992,-0.006696411754781331,-0.006696411754781331,-0.006696411754781331,0.4453565272624929,0.4453565272624929,0.4453565272624929
seasonal_naive,pooled,10,0.8,0.7333333333333333,0.9,0.6,0.4666666666666666,0.7,0.39999999999999997,0.19999999999999998,0.4999999999999999,0.4600000000000001,0.42000000000000004,0.51,0.785626937711541,0.7431027186632783,0.8020546512905834,0.6363381251817016,0.6055115634469167,0.713171517323002,0.3346530093702272,0.2980472831548989,0.3755261299693953
seasonal_naive,covid,7,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.42857142857142855,0.6190476190476192,0.33333333333333337,0.14285714285714285,0.33333333333333337,0.4714285714285714,0.45714285714285713,0.5142857142857143,0.7796320125918076,0.7592457427371878,0.7995264414609283,0.6434895882664703,0.6401040566501338,0.7281525589457605,0.37411913065991553,0.3479793919147743,0.3865372674311721
seasonal_naive,non_covid,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.7996150963242524,0.7996150963242524,0.7996150963242524,0.6196513779839082,0.6196513779839082,0.6196513779839082,0.24256539302762103,0.24256539302762103,0.24256539302762103
