style,image,scale,seed,others_pass,fidelity_pass,all_pre_k4,all_k4,all_l3,colour_pass,colour_de,colour_threshold,mask_fallback,product_pass,product_retrieved,product_top1_style
Sweater,s0.15_seed43.png,0.15,43,true,false,false,false,false,false,36.76,3.44,false,true,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid
Sweater,s0.25_seed42.png,0.25,42,true,false,false,false,false,false,3.54,3.44,false,true,Sweater,Ladieswear || Sweater || Knitwear || Khaki green || Melange
Sweater,s0.25_seed43.png,0.25,43,true,false,false,false,false,false,3.58,3.44,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
Sweater,s0.35_seed42.png,0.35,42,true,false,false,false,false,true,1.16,3.44,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
Sweater,s0.35_seed43.png,0.35,43,true,false,false,false,false,true,2.51,3.44,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
Sweater,s0.35_seed44.png,0.35,44,true,false,false,false,false,true,3.01,3.44,false,true,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid
Sweater,s0.35_seed45.png,0.35,45,true,true,true,true,true,true,2.75,3.44,false,true,Sweater,Divided || Sweater || Knitwear || Orange || Solid
Sweater,s0.35_seed46.png,0.35,46,true,false,false,false,false,false,4.06,3.44,false,true,Sweater,Ladieswear || Sweater || Knitwear || Khaki green || Melange
Sweater,s0.35_seed47.png,0.35,47,true,false,false,false,false,true,3.11,3.44,false,true,Sweater,Divided || Sweater || Knitwear || Orange || Solid
Sweater,s0.35_seed48.png,0.35,48,true,false,false,false,false,true,2.71,3.44,false,true,Sweater,Ladieswear || Sweater || Knitwear || Beige || Melange
Sweater,s0.35_seed49.png,0.35,49,true,false,false,false,false,true,3.03,3.44,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
Sweater,s0.45_seed42.png,0.45,42,false,false,false,false,false,false,4.68,3.44,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
Sweater,s0.45_seed43.png,0.45,43,true,false,false,false,false,false,4.45,3.44,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
