origin_week,method,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3
2019-07-29,champion,0.0,0.0,0.0,0.0,0.7131699018681654,0.5192255814215103,0.2841618927877735,0.2662616453610409,0.2578630619417725,0.2526550727501146,0.0
2019-08-05,champion,0.0,0.0,0.0,0.0,0.6755549333153881,0.5208639891907761,0.27932269831998185,0.20280589944995933,0.21914293725156905,0.23967210669251637,0.0
2019-08-12,champion,0.0,0.0,0.0,0.0,0.6908726821534871,0.5186884180980198,0.28872074968159794,0.3051848538381898,0.23659354265028582,0.2503217955400815,0.0
2019-08-19,champion,0.0,0.0,0.0,0.0,0.7565995103904372,0.48862377672611734,0.2930778811509175,0.2917430388979293,0.3459440603514969,0.3121799253896499,0.0
2019-08-26,champion,0.0,0.0,0.0,0.0,0.7225150636758351,0.4642820328176163,0.2913121343878667,0.2663685167137105,0.2912031430322952,0.31558524747192385,0.0
2019-09-02,champion,0.0,0.0,0.0,0.0,0.7911355411189219,0.5163935218617156,0.24903210436177037,0.3274092575092196,0.42938571165710604,0.4421754062440935,0.0
2019-09-09,champion,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8472734746659278,0.5221452563536265,0.23181153188110976,0.4191765314703408,0.5860028598080472,0.5780979996601724,0.0
2019-09-16,champion,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8302191880344081,0.5372921680489274,0.2227654909708698,0.3876863536934208,0.5937675355758404,0.5658900431030044,0.0
2019-09-23,champion,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8677082586373627,0.6281754443015909,0.20784745423726517,0.6190343185512476,0.5623480516051015,0.5157806431612648,0.0
2019-09-30,champion,0.3333333333333333,0.0,0.0,0.1,0.8837717575864027,0.6155059107378552,0.2072600558315918,0.5041708350547778,0.6095308705393992,0.6248609715236331,0.0
2019-10-07,champion,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8817734688164338,0.6192637309247343,0.19448199273474778,0.589286024409845,0.6212763442239564,0.5692409701910724,0.0
2019-10-14,champion,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8970267938470765,0.623332659973742,0.1872477652667267,0.5573344468993221,0.6293134965236801,0.6288571643386087,0.0
2019-10-21,champion,0.6666666666666666,0.3333333333333333,0.0,0.3,0.901199789732227,0.6861572765765349,0.16152207548800884,0.5390668042217354,0.6766522846938127,0.6642368746388453,0.0
2019-10-28,champion,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8848396374878481,0.7025566743005722,0.15214033095081067,0.5027993239810099,0.6056704326216295,0.6056860288768717,0.0
2019-11-04,champion,1.0,0.3333333333333333,0.0,0.3,0.904200718324329,0.6882305207881813,0.1561934158520298,0.5907151978547962,0.6870274848412147,0.6939529322537581,0.0
2019-11-11,champion,0.6666666666666666,0.3333333333333333,0.0,0.3,0.9120206454136012,0.6815153558388243,0.15054304417731595,0.5933206900634628,0.6898912988262665,0.6735306265389531,0.0
2019-11-18,champion,1.0,0.0,0.0,0.2,0.8939862203972151,0.7496168352994119,0.12982652885675322,0.5954282728144653,0.6287347438407238,0.651649114130628,0.0
2019-11-25,champion,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8977095959485629,0.7690205783363492,0.16994235129219273,0.7049560000604634,0.6574249525746861,0.6802684141429067,0.0
2019-12-02,champion,0.3333333333333333,0.3333333333333333,0.0,0.2,0.9199018103920028,0.7472654764988382,0.12916472076409177,0.6983124084084361,0.7009638017299444,0.7285980773569237,0.0
2019-12-09,champion,0.3333333333333333,0.0,0.0,0.1,0.8688801799203556,0.7513306123134659,0.13035501407383476,0.6014498124930101,0.6365042171122282,0.6365756635773158,0.0
2019-12-16,champion,0.6666666666666666,0.0,0.0,0.0,0.8898320656902664,0.7608268376431362,0.16982472487874112,0.6881429594684768,0.6388080037040194,0.6467484582209316,0.0
2019-12-23,champion,0.3333333333333333,0.0,0.0,0.0,0.8533930484758285,0.735331402456325,0.15039430201557982,0.49954965014143216,0.5525705157348326,0.6012406907132744,0.0
2019-12-30,champion,0.0,0.0,0.0,0.0,0.862597531877976,0.734050021010323,0.1487069669826185,0.452992704784755,0.5645033831759927,0.5859617112719657,0.0
2020-01-06,champion,0.0,0.0,0.0,0.0,0.8483825646048764,0.7236640272249365,0.1512053919286367,0.41383211175369566,0.5214522012202486,0.6103705244129292,0.0
2020-01-13,champion,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2,0.8960995792455027,0.7369270546144662,0.138510038294413,0.7545524188737014,0.6674116538784,0.7392957926318434,0.6666666666666666
2020-01-20,champion,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.8825405810523166,0.7352390981735738,0.14729173501933226,0.6781642645470226,0.6218645097058286,0.7105201438363223,0.3333333333333333
2020-01-27,champion,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2,0.8696247511548367,0.7384980834274216,0.15240205719714706,0.7102742206912347,0.5904571598605547,0.6468435859630594,0.3333333333333333
2020-02-03,champion,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8986011211254612,0.7309159083420519,0.16254354111273892,0.6776972561783123,0.6325714988081202,0.6677414933744131,0.3333333333333333
2020-02-10,champion,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8886522158205792,0.7532975578372251,0.15315405868719403,0.6952481708048116,0.6051722095878295,0.577002689470791,0.3333333333333333
2020-02-17,champion,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8693440401448959,0.7500906911881332,0.15570644786033083,0.6546840807462773,0.5578918118123838,0.5441801116953471,0.3333333333333333
2020-02-24,champion,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8816228609876969,0.7612227506448004,0.15322637608632747,0.6350463440941022,0.5689425160491643,0.5884014461319761,0.3333333333333333
2020-03-02,champion,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8777902787151566,0.7604010648873428,0.15155465851492902,0.6092445478189024,0.5687737211442804,0.5465195085369537,0.0
2020-03-09,champion,0.6666666666666666,0.6666666666666666,0.0,0.4,0.9174459233663768,0.776996047624003,0.152313505309149,0.6390455699249302,0.7072300663530608,0.7088008652513493,0.3333333333333333
2020-03-16,champion,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8567323372975104,0.7852323345038295,0.15185633203945767,0.5253162957861987,0.5696057871278872,0.608328738174204,0.0
2020-03-23,champion,0.0,0.0,0.0,0.3,0.866944819186024,0.780387802139157,0.13615972642637775,0.4090405953952735,0.6237990211701658,0.6416006193630935,0.0
2020-03-30,champion,1.0,0.6666666666666666,0.3333333333333333,0.4,0.9406486928097021,0.792688897387212,0.12376454903684135,0.8766414152806649,0.7614756938622356,0.7539037760631316,0.6666666666666666
