lever,mean_diff,ci_lo,ci_hi,p_two_sided,holm_rank,holm_threshold,holm_significant,guardrail_failures,controls_ok,adopted
b1,-0.0015980545724194582,-0.015881503385672766,0.009183898254229243,0.862568715642179,3,0.025,false,"",false,false
b2,-0.012764619147329842,-0.038700116538186266,0.012777241211851144,0.351824087956022,1,0.0125,false,"spearman_rho,wmape",,false
b3,0.0006091645851384562,-0.001246224340033634,0.00274319698941449,0.624687656171914,2,0.016666666666666666,false,"",,false
b4,0.0,0.0,0.0,1.0,4,0.05,false,"",,false
