season,n_origins,first_origin,last_origin,n_covid_flagged,model_hit_at_3_in_top20,model_hit_at_3_in_top10,model_precision_at_3,model_precision_at_10,model_ndcg_at_10,model_spearman_rho,model_wmape
autumn,11,2019-07-29,2019-10-07,0,0.2121212121212121,0.1212121212121212,0.0,0.08181818181818183,0.7873267072966154,0.5409508936802263,0.24998127148595384
winter,13,2019-10-14,2020-01-06,6,0.4871794871794871,0.17948717948717946,0.0,0.15384615384615385,0.8872285078547818,0.7194537137123569,0.15285127942518006
spring,13,2020-01-13,2020-04-06,13,0.641025641025641,0.564102564102564,0.1282051282051282,0.25384615384615383,0.8931388726230333,0.7622941671133974,0.14637452914073304
summer,11,2020-04-13,2020-06-22,11,0.33333333333333337,0.2121212121212121,0.0606060606060606,0.17272727272727278,0.9015588909293897,0.8067852343260289,0.11874462155143176
