distribution,n_pairs,mean,median,std,min,max,p90,p95
within_style,136,0.9255290127852384,0.9401496052742004,0.057306034126515144,0.6962622404098511,0.9895131587982178,0.9700926244258881,0.9777717292308807
across_style,767,0.799233248600593,0.804219663143158,0.07113598371771891,0.6481711864471436,0.938025712966919,0.8905517101287842,0.9115701973438263
