origin_week,construction,method,n_styles,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape
2019-09-16,ratio,lightgbm,163,163,0.3333333333333333,0.0,0.0,0.1,0.5386677347191589,0.6395636246751015,0.44945583301759917
2019-09-16,ratio,seasonal_naive,163,163,1.0,0.6666666666666666,0.6666666666666666,0.5,0.9401628378649572,0.769018682006861,0.2983816644513538
2019-09-16,ratio,ewma_persistence,163,163,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.44367462748167,0.2958972739011644,0.5448236877095668
2019-09-16,ratio,parent_category_mean,163,163,0.0,0.0,0.0,0.0,0.3015818510758119,0.2482806014154211,0.5542849611979865
2019-09-16,ratio,global_mean,163,163,0.0,0.0,0.0,0.0,0.31316923298142924,0.26607589184276303,0.5598292218194311
2019-09-16,excess,lightgbm,163,163,0.0,0.0,0.0,0.0,0.16727625350059236,-0.5917751508803432,1.0785266364919148
2019-09-16,excess,ewma_persistence,163,163,0.0,0.0,0.0,0.0,0.11010889171141593,-0.7888229393541379,1.1375698154414813
2019-09-16,excess,parent_category_mean,163,163,0.0,0.0,0.0,0.0,0.16560675735805372,-0.6096230900959316,1.3569866550748688
2019-09-16,excess,global_mean,163,163,0.0,0.0,0.0,0.0,0.16561288470075378,-0.6097117617392943,1.5098072606090605
2019-09-16,residual,lightgbm,163,163,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1,0.5742229278949144,0.5763629108683724,1.0024797412925686
2019-09-16,residual,seasonal_naive,163,163,1.0,0.6666666666666666,0.6666666666666666,0.4,0.9047651675083002,0.7139646754340755,1.0165965797534575
2019-09-16,residual,ewma_persistence,163,163,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.4236366326620399,0.14362589433665296,1.0087088555523511
2019-09-16,residual,parent_category_mean,163,163,0.0,0.0,0.0,0.0,0.24565190192366432,-0.024440121701830516,1.0063039987199793
2019-09-16,residual,global_mean,163,163,0.0,0.0,0.0,0.0,0.24214333445973965,-0.02112601903115146,1.0033047112753841
2019-09-23,ratio,lightgbm,159,159,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.6511972748290107,0.48995700979221407,0.43245873190546286
2019-09-23,ratio,seasonal_naive,159,159,1.0,1.0,1.0,0.5,0.9566284167791799,0.7150853833293529,0.27904206805813503
2019-09-23,ratio,ewma_persistence,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,0.4041298312857807,-0.044948650585144495,0.4722280379193964
2019-09-23,ratio,parent_category_mean,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.4797928577948761,0.13558335323620732,0.49638677049169266
2019-09-23,ratio,global_mean,159,159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,0.46636051326818884,0.15595294960592312,0.5081299536341926
2019-09-23,excess,lightgbm,159,159,0.0,0.0,0.0,0.0,0.21437949043293988,-0.5435723668497732,0.9330320306655261
2019-09-23,excess,ewma_persistence,159,159,0.0,0.0,0.0,0.0,0.15009043349880796,-0.7637180558872703,1.0485118830921782
