style,image,scale,seed,others_pass,fidelity_pass,all_pre_k4,all_k4,all_binary,all_m,colour_pass,colour_verdict,colour_raw_threshold,colour_de,colour_threshold,mask_fallback,product_pass,product_retrieved,product_top1_style
Top,s0.60_seed42.png,0.6,42,false,true,false,false,false,false,true,pass,1.12,0.72,2.62,false,true,Top,Ladieswear || Top || Jersey Basic || White || Solid
Top,s0.60_seed43.png,0.6,43,false,true,false,false,false,false,true,pass,1.12,0.6,2.62,false,true,Top,Baby/Children || Top || Jersey Basic || White || Solid
Top,s0.70_seed42.png,0.7,42,false,true,false,false,false,false,true,pass,1.12,0.67,2.62,false,true,Top,Ladieswear || Top || Jersey Basic || White || Solid
Top,s0.70_seed43.png,0.7,43,false,true,false,false,false,false,true,pass,1.12,0.54,2.62,false,true,Top,Baby/Children || Top || Jersey Basic || White || Solid
Sweater,s0.15_seed42.png,0.15,42,true,false,false,false,false,false,false,fail,3.2,5.13,3.75,false,true,Sweater,Ladieswear || Sweater || Knitwear || Khaki green || Melange
Sweater,s0.15_seed43.png,0.15,43,true,false,false,false,false,false,false,fail,3.2,37.13,3.75,false,true,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid
Sweater,s0.25_seed42.png,0.25,42,true,false,false,false,false,false,true,escalate,3.2,3.52,3.75,false,true,Sweater,Ladieswear || Sweater || Knitwear || Khaki green || Melange
Sweater,s0.25_seed43.png,0.25,43,true,false,false,false,false,false,true,escalate,3.2,3.67,3.75,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
Sweater,s0.35_seed42.png,0.35,42,true,false,false,false,false,false,true,pass,3.2,1.14,3.75,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
Sweater,s0.35_seed43.png,0.35,43,true,false,false,false,false,false,true,pass,3.2,2.54,3.75,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
Sweater,s0.35_seed44.png,0.35,44,true,false,false,false,false,false,true,pass,3.2,3.0,3.75,false,true,Sweater,Ladieswear || Sweater || Knitwear || Brown || Solid
Sweater,s0.35_seed45.png,0.35,45,true,true,true,true,true,true,true,pass,3.2,2.75,3.75,false,true,Sweater,Divided || Sweater || Knitwear || Orange || Solid
Sweater,s0.35_seed46.png,0.35,46,true,false,false,false,false,false,false,escalate,3.2,4.07,3.75,false,true,Sweater,Ladieswear || Sweater || Knitwear || Khaki green || Melange
Sweater,s0.35_seed47.png,0.35,47,true,false,false,false,false,false,true,pass,3.2,3.12,3.75,false,true,Sweater,Divided || Sweater || Knitwear || Orange || Solid
Sweater,s0.35_seed48.png,0.35,48,true,false,false,false,false,false,true,pass,3.2,2.73,3.75,false,true,Sweater,Ladieswear || Sweater || Knitwear || Beige || Melange
Sweater,s0.35_seed49.png,0.35,49,true,false,false,false,false,false,true,pass,3.2,3.05,3.75,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
Sweater,s0.45_seed42.png,0.45,42,false,false,false,false,false,false,false,fail,3.2,4.72,3.75,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
Sweater,s0.45_seed43.png,0.45,43,true,false,false,false,false,false,false,fail,3.2,4.48,3.75,false,true,Sweater,Menswear || Sweater || Knitwear || Beige || Solid
