origin_week,covered
2019-07-29,0.42212709911096474
2019-08-05,0.4185587364264561
2019-08-12,0.39756658993752053
2019-08-19,0.41222879684418146
2019-08-26,0.39533355241537954
2019-09-02,0.41899441340782123
2019-09-09,0.4377259283601709
2019-09-16,0.4520367936925099
2019-09-23,0.4822485207100592
2019-09-30,0.4802890932982917
2019-10-07,0.4996714848883049
2019-10-14,0.5312294543063774
2019-10-21,0.636094674556213
2019-10-28,0.6479104968739717
2019-11-04,0.6639236339697169
2019-11-11,0.6793012524719841
2019-11-18,0.760898282694848
2019-11-25,0.7165067813430367
2019-12-02,0.7844370860927152
2019-12-09,0.781498673740053
2019-12-16,0.7149966821499668
2019-12-23,0.7178891470295387
2019-12-30,0.7151394422310757
2020-01-06,0.6903654485049834
2020-01-13,0.6653373213692256
2020-01-20,0.6371799135350849
2020-01-27,0.6329787234042553
2020-02-03,0.6009311606252078
2020-02-10,0.609577652144995
2020-02-17,0.6046589018302828
2020-02-24,0.6027990669776742
2020-03-02,0.5741913971323774
2020-03-09,0.6004680708793045
2020-03-16,0.6306970509383378
2020-03-23,0.6379252273492758
2020-03-30,0.6553004726536125
2020-04-06,0.6982408660351827
2020-04-13,0.7388643318599116
2020-04-20,0.7205180640763463
2020-04-27,0.7014055536510113
2020-05-04,0.7360633172746043
2020-05-11,0.7228204237582494
2020-05-18,0.7131348511383537
2020-05-25,0.7297008547008547
2020-06-01,0.758957654723127
2020-06-08,0.7650557620817844
2020-06-15,0.7502944640753828
2020-06-22,0.6845298281092013
