season,comparator,metric,n_origins,n_both_defined,model_mean,comparator_mean,mean_diff,ci_lo,ci_hi,ess_ac,ess_boot,THIN
autumn,seasonal_naive,hit_at_3_in_top20,11,5,0.4666666666666666,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,5.0,5.0,true
autumn,seasonal_naive,hit_at_3_in_top10,11,5,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,5.0,5.0,true
autumn,seasonal_naive,precision_at_3,11,5,0.0,0.0,0.0,0.0,0.0,5.0,5.0,true
autumn,seasonal_naive,precision_at_10,11,5,0.18000000000000002,0.22000000000000003,-0.039999999999999994,-0.059999999999999984,5.551115123125783e-18,4.571428571428571,5.0,true
autumn,seasonal_naive,ndcg_at_10,11,5,0.862149229548107,0.7976801024642773,0.06446912708382972,0.05089831158366924,0.06446912708382972,5.0,5.0,true
autumn,seasonal_naive,spearman_rho,11,5,0.5844765020733468,0.5123758166132816,0.07210068546006536,0.05104301857233231,0.07474169617322465,4.426148103535445,5.0,true
autumn,seasonal_naive,wmape,11,5,0.21283330513111687,0.1955238694695689,0.01730943566154796,0.016433041461521657,0.024534932282963395,3.9133580392296845,5.0,true
autumn,ewma_persistence,hit_at_3_in_top20,11,11,0.2121212121212121,0.0303030303030303,0.1818181818181818,0.0,0.393939393939394,6.244541484716158,5.092415230553744,false
autumn,ewma_persistence,hit_at_3_in_top10,11,11,0.1212121212121212,0.0303030303030303,0.09090909090909091,0.0,0.2424242424242424,11.0,6.330283681001375,false
autumn,ewma_persistence,precision_at_3,11,11,0.0,0.0,0.0,0.0,0.0,11.0,11.0,false
autumn,ewma_persistence,precision_at_10,11,11,0.08181818181818183,0.06363636363636363,0.018181818181818184,-0.06363636363636363,0.08181818181818182,8.619402985074624,5.242118659115546,false
autumn,ewma_persistence,ndcg_at_10,11,11,0.7873267072966154,0.6538556315331017,0.1334710757635138,0.10628660451812276,0.16324604943177523,6.076406257423104,6.227176335057043,false
autumn,ewma_persistence,spearman_rho,11,11,0.5409508936802263,0.5089501718165335,0.03200072186369279,-0.019724819519519966,0.08644719034473364,4.796725585798354,6.021604439644606,true
autumn,ewma_persistence,wmape,11,11,0.24998127148595384,0.2636086193778916,-0.013627347891937737,-0.031332201878032755,0.0022548083491559386,5.0286179481956506,6.498408073755782,false
autumn,parent_category_mean,hit_at_3_in_top20,11,11,0.2121212121212121,0.0,0.2121212121212121,0.0,0.4242424242424242,5.697841726618704,6.1377127610300475,false
autumn,parent_category_mean,hit_at_3_in_top10,11,11,0.1212121212121212,0.0,0.1212121212121212,0.0,0.24242424242424246,8.901734104046241,6.603666278310556,false
