origin_week,method,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3,status
2020-01-06,champion,0.0,0.0,0.0,0.0,0.8483825646048764,0.7236640272249365,0.1512053919286367,0.41383211175369566,0.5214522012202486,0.6103705244129292,0.0,EXPLORATORY
2020-01-13,champion,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2,0.8960995792455027,0.7369270546144662,0.138510038294413,0.7545524188737014,0.6674116538784,0.7392957926318434,0.6666666666666666,EXPLORATORY
2020-01-20,champion,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.8825405810523166,0.7352390981735738,0.14729173501933226,0.6781642645470226,0.6218645097058286,0.7105201438363223,0.3333333333333333,EXPLORATORY
2020-01-27,champion,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2,0.8696247511548367,0.7384980834274216,0.15240205719714706,0.7102742206912347,0.5904571598605547,0.6468435859630594,0.3333333333333333,EXPLORATORY
2020-02-03,champion,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8986011211254612,0.7309159083420519,0.16254354111273892,0.6776972561783123,0.6325714988081202,0.6677414933744131,0.3333333333333333,EXPLORATORY
2020-02-10,champion,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8886522158205792,0.7532975578372251,0.15315405868719403,0.6952481708048116,0.6051722095878295,0.577002689470791,0.3333333333333333,EXPLORATORY
2020-02-17,champion,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8693440401448959,0.7500906911881332,0.15570644786033083,0.6546840807462773,0.5578918118123838,0.5441801116953471,0.3333333333333333,EXPLORATORY
2020-02-24,champion,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8816228609876969,0.7612227506448004,0.15322637608632747,0.6350463440941022,0.5689425160491643,0.5884014461319761,0.3333333333333333,EXPLORATORY
2020-03-02,champion,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8777902787151566,0.7604010648873428,0.15155465851492902,0.6092445478189024,0.5687737211442804,0.5465195085369537,0.0,EXPLORATORY
2020-03-09,champion,0.6666666666666666,0.6666666666666666,0.0,0.4,0.9174459233663768,0.776996047624003,0.152313505309149,0.6390455699249302,0.7072300663530608,0.7088008652513493,0.3333333333333333,EXPLORATORY
