density,block_length,comparator,metric,n_origins,ess_ac,ess_boot,mean_diff,ci_lo,ci_hi
grid_4w,4,seasonal_naive,hit_at_3_in_top20,12,9.38080495356037,6.021769346835412,0.23333333333333334,0.0,0.5666666666666667
grid_4w,4,seasonal_naive,hit_at_3_in_top10,12,10.0,9.146661738526408,0.03333333333333334,-0.1,0.26666666666666666
grid_4w,4,seasonal_naive,precision_at_3,12,10.0,10.0,0.0,-0.06666666666666667,0.1
grid_4w,4,seasonal_naive,precision_at_10,12,10.0,10.0,0.04,2.7755575615628915e-18,0.07000000000000002
grid_4w,4,seasonal_naive,ndcg_at_10,12,9.806314582078622,5.715914492841716,0.1555348930765306,0.09851522642003316,0.25350111891832705
grid_4w,4,seasonal_naive,spearman_rho,12,10.0,10.0,0.21801776311402254,0.2026394996495799,0.25341958189814084
grid_4w,4,seasonal_naive,wmape,12,9.19811505159113,10.0,-0.04467533817072522,-0.05449949833477663,-0.032702077563819744
grid_4w,4,ewma_persistence,hit_at_3_in_top20,12,12.0,12.0,0.25000000000000006,0.22222222222222224,0.36111111111111116
grid_4w,4,ewma_persistence,hit_at_3_in_top10,12,12.0,9.301315898466598,0.16666666666666666,0.027777777777777776,0.4166666666666666
grid_4w,4,ewma_persistence,precision_at_3,12,12.0,12.0,0.05555555555555555,0.0,0.1111111111111111
grid_4w,4,ewma_persistence,precision_at_10,12,12.0,12.0,0.05833333333333333,0.033333333333333326,0.10000000000000002
grid_4w,4,ewma_persistence,ndcg_at_10,12,12.0,12.0,0.0677894215732741,0.04589955623604514,0.09733312933443057
grid_4w,4,ewma_persistence,spearman_rho,12,8.078575571033877,12.0,0.12325961191528072,0.08966570518959856,0.18123024471533897
grid_4w,4,ewma_persistence,wmape,12,12.0,12.0,-0.02881008530122994,-0.04479736831779288,-0.02284478225550443
grid_4w,4,parent_category_mean,hit_at_3_in_top20,12,12.0,12.0,0.5,0.4444444444444445,0.6944444444444445
grid_4w,4,parent_category_mean,hit_at_3_in_top10,12,12.0,8.613786742360393,0.3055555555555555,0.16666666666666666,0.5833333333333334
grid_4w,4,parent_category_mean,precision_at_3,12,12.0,12.0,0.05555555555555555,0.0,0.1111111111111111
grid_4w,4,parent_category_mean,precision_at_10,12,12.0,12.0,0.18333333333333332,0.13333333333333333,0.2916666666666667
grid_4w,4,parent_category_mean,ndcg_at_10,12,12.0,10.36344203991131,0.6130618387637851,0.5115643199630345,0.7142608379697194
grid_4w,4,parent_category_mean,spearman_rho,12,6.931502390015745,12.0,0.46618626978325345,0.4114535989763055,0.5217519137126828
grid_4w,4,parent_category_mean,wmape,12,7.863852575729895,12.0,-0.07740632116458371,-0.10133586354149758,-0.05849326003154756
grid_4w,4,global_mean,hit_at_3_in_top20,12,12.0,12.0,0.5277777777777778,0.47222222222222215,0.75
grid_4w,4,global_mean,hit_at_3_in_top10,12,12.0,8.613786742360393,0.3055555555555555,0.16666666666666666,0.5833333333333334
grid_4w,4,global_mean,precision_at_3,12,12.0,12.0,0.05555555555555555,0.0,0.1111111111111111
grid_4w,4,global_mean,precision_at_10,12,12.0,12.0,0.19166666666666665,0.15,0.3083333333333333
grid_4w,4,global_mean,ndcg_at_10,12,6.962858736536968,8.495532494481823,0.6693850689415504,0.6253068902157471,0.7356525488218062
grid_4w,4,global_mean,spearman_rho,12,0.0,0.0,NaN,NaN,NaN
grid_4w,4,global_mean,wmape,12,8.165628054925815,12.0,-0.13898154105662355,-0.1643692152427873,-0.1183376785636101
grid_4w,4,random_floor,hit_at_3_in_top20,12,12.0,12.0,0.5208333333333333,0.4638888888888888,0.748611111111111
grid_4w,4,random_floor,hit_at_3_in_top10,12,12.0,8.742300833790551,0.29861111111111105,0.16249999999999998,0.5666666666666668
grid_4w,4,random_floor,precision_at_3,12,12.0,12.0,0.05138888888888888,-0.004166666666666667,0.10972222222222222
grid_4w,4,random_floor,precision_at_10,12,12.0,12.0,0.18833333333333335,0.14708333333333337,0.30250000000000005
