ip_adapter_scale,clip_margin_mean,clip_margin_std,dino_margin_mean,dino_margin_std,n_seeds,clip_in_band,dino_in_band
0.2,0.09684018464315507,0.026607017992000458,0.7201493568718433,0.013601739162121047,3,true,false
0.3,0.1104429517473493,0.015189901737736666,0.7268385016492435,0.007667813873470721,3,false,false
0.4,0.11884715102967762,0.015945839628886117,0.736529456149964,0.007562048006347171,3,false,false
0.5,0.12780599139985582,0.011658959925139505,0.739243137268793,0.001981693058783742,3,false,false
0.6,0.13398778949465073,0.003692843418301979,0.7313083900937013,0.014929621664715745,3,false,false
0.7,0.13971422853923984,0.002349212165028061,0.7160187863168263,0.013204638505775579,3,false,false
0.8,0.1452820908455622,0.0056521445018631565,0.6910204939898991,0.013251585471873209,3,false,false
0.9,0.1442223475092933,0.011235822238058376,0.6888447774308067,0.01089834997333438,3,false,false
