window_end,coverage,status,alert
2019-08-19,0.6280121720536228,low,true
2019-08-26,0.611508425811755,low,true
2019-09-02,0.602432410222697,low,true
2019-09-09,0.6023334154958508,low,true
2019-09-16,0.5995235356937485,low,true
2019-09-23,0.6205225106802498,low,true
2019-09-30,0.6414195350365564,low,true
2019-10-07,0.675784458682438,low,true
2019-10-14,0.7210811698981269,ok,false
2019-10-21,0.7776043378245153,ok,false
2019-10-28,0.8387441439960549,ok,false
2019-11-04,0.888249321601842,ok,false
2019-11-11,0.9310458323047807,high,true
2019-11-18,0.949748743718593,high,true
2019-11-25,0.9630454507960076,high,true
2019-12-02,0.9727385377942999,high,true
2019-12-09,0.9792338876478862,high,true
2019-12-16,0.9793754659156796,high,true
2019-12-23,0.9718146398076764,high,true
2019-12-30,0.9618415595188718,high,true
2020-01-06,0.9455556477715993,high,true
2020-01-13,0.9247758219860511,high,true
2020-01-20,0.9019770726034225,high,true
2020-01-27,0.8749376765830148,ok,false
2020-02-03,0.8408278613581581,ok,false
2020-02-10,0.8113725164186549,ok,false
2020-02-17,0.7793298411906544,ok,false
2020-02-24,0.7499168053244593,ok,false
2020-03-02,0.7182817182817183,ok,false
2020-03-09,0.6850616872290763,low,true
2020-03-16,0.6642171189979124,low,true
2020-03-23,0.6524323871724023,low,true
2020-03-30,0.6692423987905258,low,true
2020-04-06,0.709628506444276,ok,false
2020-04-13,0.7554954345620561,ok,false
2020-04-20,0.7978461799372509,ok,false
2020-04-27,0.8278855975485189,ok,false
2020-05-04,0.8511711403658745,ok,false
2020-05-11,0.8660192506015812,ok,false
2020-05-18,0.8792939344120446,ok,false
2020-05-25,0.8948287910552062,ok,false
2020-06-01,0.9001326846528085,high,true
2020-06-08,0.9047319179560993,high,true
2020-06-15,0.9082161361954109,high,true
2020-06-22,0.8985768691120465,ok,false
