style,n,old_threshold_L1,raw_threshold_rembg,shrunk_threshold,weight_w,global_median,loo_L1_border_unshrunk,loo_rembg_unshrunk,loo_rembg_shrunk,fallbacks_L1,fallbacks_rembg,raw_moved_materially
Sweater,17,3.4355401672860744,3.2034642716977104,3.75054179361679,0.5,4.29761931553587,0.8823529411764706,0.8823529411764706,0.8823529411764706,1,0,false
Dress,25,4.500300063670908,4.29761931553587,4.29761931553587,0.5952380952380952,4.29761931553587,0.92,0.88,0.88,0,0,false
Top,19,1.0562865632327942,1.116629673097226,2.6187636709154747,0.5277777777777778,4.29761931553587,0.8421052631578947,0.8421052631578947,1.0,19,0,false
Bikini top,8,16.444062087118716,13.82069601902535,7.345003860652504,0.32,4.29761931553587,0.875,0.75,0.5,0,0,true
Underwear bottom,4,23.719272337637832,23.715670323231173,7.996295697954023,0.19047619047619047,4.29761931553587,0.75,0.75,0.75,0,0,false
