eval_set,spread_quantile,decision_bearing,n_origins,n_picks,coverage,hit_rate_confident,hit_rate_all,difference,ci_lo,ci_hi,block,ess_ac_of_per_origin_difference,floor_null_mean,floor_null_lo,floor_null_hi,floor_p_one_sided,verdict
grid_4w,0.5,true,12,36,0.5,0.3888888888888889,0.5277777777777778,-0.1388888888888889,-0.5972222222222222,0.0,4,6.257447389997266,-0.009361111111111113,-0.08333333333333337,0.08333333333333337,1.0,NOT_DEMONSTRATED
grid_4w,0.25,false,12,36,0.0,NaN,0.5277777777777778,NaN,NaN,NaN,4,0.0,NaN,NaN,NaN,NaN,exploratory
grid_4w,0.75,false,12,36,1.0,0.5277777777777778,0.5277777777777778,0.0,0.0,0.0,4,12.0,0.0,0.0,0.0,1.0,exploratory
weekly_1w,0.5,false,48,144,0.4236111111111111,0.2786885245901639,0.4305555555555556,-0.15186703096539167,-0.5151546717171717,0.015220303888432084,13,11.833667763707783,-0.0432194899817851,-0.10268670309653921,0.012067395264116543,1.0,exploratory
weekly_1w,0.25,false,48,144,0.020833333333333332,0.0,0.4305555555555556,-0.4305555555555556,-0.6180555555555556,-0.4166666666666667,13,3.0,-0.10172222222222228,-0.4305555555555556,0.23611111111111105,1.0,exploratory
weekly_1w,0.75,false,48,144,0.9861111111111112,0.43661971830985913,0.4305555555555556,0.006064162754303548,0.0,0.02324879227053145,13,36.62781794980858,0.0013845852895148219,-0.008020344287949954,0.006064162754303548,0.45177411294352826,exploratory
